COUNTY,2015 COUNT,2016 COUNT,2017 COUNT,2018 COUNT,2015 RATE,2016 RATE,2017 RATE,2018 RATE
Apache,44,32,41,41,-,-,-,-
Cochise,61,43,44,22,-,-,-,-
Coconino,46,28,48,34,-,-,-,-
Gila,17.0,21,36,6,-,-,-,-
Graham,7,10,16,12,-,-,-,-
Greenlee,1,3,3,1,-,-,-,-
La Paz,2.0,1,4,1,-,-,-,-
Maricopa,792,675,674,703,-,-,-,-
Mohave,36.0,12,71,69,-,-,-,-
Navajo,46,47,93,45,-,-,-,-
Pima,193,212,164,166,-,-,-,-
Pinal,54,47,73,61,-,-,-,-
Santa Cruz,17.0,13,9,18,-,-,-,-
Yavapai,43,52,55,46,-,-,-,-
Yuma,20,45,41,44,-,-,-,-
