"",,,ANAPLAS-,"ARBO, OTHER",,,,CAMPYLO-,
"",AIDS*,AMEBIASIS,MOSIS,NON-INVASIVE,BABESIOSIS,BOTULISM,BRUCELLOSIS,BACTERIOSIS,CHANCROID
ALBANY,21,13,21,0,5,0,0,59,0
ALLEGANY,0,0,0,0,0,0,0,9,0
BROOME,4,0,0,0,0,0,0,20,0
CATTARAUGUS,1,0,0,0,0,0,0,8,0
CAYUGA,1,1,0,0,0,0,0,19,0
CHAUTAUQUA,0,0,0,0,0,0,0,13,0
CHEMUNG,2,0,1,0,0,0,0,25,0
CHENANGO,0,0,1,0,0,0,0,11,0
CLINTON,3,0,1,0,1,0,0,9,0
COLUMBIA,5,2,50,0,11,0,0,12,0
CORTLAND,0,0,0,0,0,0,0,11,0
DELAWARE,1,0,2,0,1,0,0,13,0
DUTCHESS,8,1,62,0,71,1,0,42,0
ERIE,42,9,0,0,1,0,0,108,0
ESSEX,0,0,0,0,0,0,0,8,0
FRANKLIN,0,0,0,0,0,0,0,11,0
FULTON,1,0,0,0,0,0,0,5,0
GENESEE,2,0,0,0,0,0,0,4,0
GREENE,0,0,22,0,6,0,0,6,0
HAMILTON,0,0,0,0,0,0,0,3,0
HERKIMER,2,0,0,0,0,0,0,12,0
JEFFERSON,1,0,0,0,0,0,0,24,0
LEWIS,0,1,0,0,0,0,0,11,0
LIVINGSTON,2,0,0,0,0,0,0,6,0
MADISON,4,0,0,0,0,0,0,16,0
MONROE,41,7,0,0,1,0,0,121,0
MONTGOMERY,1,0,0,0,0,0,0,13,0
NASSAU,52,17,3,0,9,1,0,287,0
NIAGARA,6,1,1,0,0,0,0,28,0
ONEIDA,11,0,0,0,2,0,0,27,0
ONONDAGA,23,0,1,0,0,0,0,171,0
ONTARIO,0,0,0,0,0,0,0,18,0
ORANGE,7,8,27,0,34,0,0,46,0
ORLEANS,0,0,0,0,0,0,0,7,0
OSWEGO,1,0,0,0,0,0,0,21,0
OTSEGO,1,0,0,0,1,0,0,15,0
PUTNAM,1,1,8,0,22,0,0,21,0
RENSSELAER,4,0,78,1,7,0,0,22,0
ROCKLAND,12,8,2,0,12,0,0,85,0
ST. LAWRENCE,5,0,1,0,0,0,0,8,1
SARATOGA,2,1,33,0,1,0,0,38,0
SCHENECTADY,6,1,2,0,0,0,0,17,0
SCHOHARIE,0,0,0,0,0,0,0,13,0
SCHUYLER,0,0,0,0,0,0,0,11,0
SENECA,2,0,0,0,0,0,0,10,0
STEUBEN,3,0,0,0,1,0,0,32,0
SUFFOLK,54,19,46,0,197,2,0,265,0
SULLIVAN,4,0,0,0,0,0,0,16,0
TIOGA,0,0,0,0,1,0,0,12,0
TOMPKINS,2,2,2,0,1,0,0,22,0
ULSTER,7,1,27,0,14,1,0,39,0
WARREN,3,2,0,0,1,0,0,11,0
WASHINGTON,0,0,22,0,0,0,0,17,0
WAYNE,3,1,0,0,0,0,0,26,0
WESTCHESTER,59,22,8,0,21,0,0,274,0
WYOMING,0,0,0,0,0,0,0,7,0
YATES,0,0,0,0,0,0,0,6,0
"",,,CRYPTO-,,DENGUE,,,,EHRLICH/ANAPLAS
"",CHLAMYDIA,CHIKUNGUNYA,SPORIDIOSIS,CYCLOSPORA,FEVER,E. COLI O157,EHEC*,EHRLICHIOSIS,UNDETERMINED
ALBANY,1580,3,4,0,0,2,5,0,0
ALLEGANY,107,0,0,0,0,0,0,0,0
BROOME,719,2,8,0,0,0,6,3,0
CATTARAUGUS,200,0,2,0,0,0,0,0,0
CAYUGA,241,0,5,0,0,0,0,0,0
CHAUTAUQUA,504,0,6,0,0,1,2,0,0
CHEMUNG,305,0,1,0,0,0,1,0,0
CHENANGO,135,0,1,0,0,0,1,0,0
CLINTON,328,0,1,0,0,0,1,1,0
COLUMBIA,119,0,0,0,0,0,0,3,3
CORTLAND,183,1,2,0,0,0,1,0,0
DELAWARE,95,0,4,0,0,0,1,0,0
DUTCHESS,831,2,0,1,0,1,2,4,3
ERIE,5004,1,12,0,1,3,8,0,1
ESSEX,59,0,0,0,0,0,1,0,0
FRANKLIN,93,0,2,0,0,1,1,0,0
FULTON,184,0,1,0,1,0,0,0,0
GENESEE,151,0,1,0,0,0,0,0,0
GREENE,156,0,1,0,0,0,0,2,0
HAMILTON,9,0,0,0,0,0,0,0,0
HERKIMER,152,0,4,0,0,0,2,0,0
JEFFERSON,569,0,15,0,0,0,0,0,0
LEWIS,43,0,9,0,2,0,1,0,0
LIVINGSTON,113,0,3,0,0,0,1,0,0
MADISON,160,0,7,0,0,0,1,1,0
MONROE,4140,0,13,0,2,9,9,1,0
MONTGOMERY,143,0,2,0,0,0,1,0,0
NASSAU,3477,14,10,3,4,7,18,1,0
NIAGARA,837,0,1,0,0,3,4,0,0
ONEIDA,791,0,19,0,0,2,6,0,0
ONONDAGA,2671,2,12,0,2,2,7,0,0
ONTARIO,303,0,6,0,0,2,1,0,0
ORANGE,1176,1,1,0,2,1,4,6,1
ORLEANS,164,0,2,0,0,0,0,0,0
OSWEGO,466,0,6,0,0,1,1,1,0
OTSEGO,265,0,2,0,0,0,1,0,0
PUTNAM,147,1,0,0,0,1,1,7,1
