"",,,ANAPLAS-,"ARBO,OTHER",,,,CAMPYLO-,
"",AIDS*,AMEBIASIS,MOSIS,NON-INVASIVE,BABESIOSIS,BOTULISM,BRUCELLOSIS,BACTERIOSIS,CHLAMYDIA
ALBANY,11,6,80,0,11,0,0,42,1760
ALLEGANY,1,0,0,0,1,0,0,12,104
BROOME,11,0,0,0,0,0,0,21,700
CATTARAUGUS,1,0,0,0,0,0,0,7,287
CAYUGA,1,0,1,0,0,0,0,13,208
CHAUTAUQUA,0,0,0,0,0,0,0,16,539
CHEMUNG,2,0,0,0,0,0,0,16,324
CHENANGO,0,0,0,0,0,0,0,6,103
CLINTON,2,0,0,0,1,0,0,11,281
COLUMBIA,3,0,75,0,25,0,0,7,180
CORTLAND,0,0,1,0,0,0,0,8,167
DELAWARE,0,0,1,0,0,0,0,10,104
DUTCHESS,8,9,98,1,56,0,0,42,926
ERIE,36,11,0,0,0,0,0,86,5201
ESSEX,NA,0,2,0,1,0,0,11,50
FRANKLIN,1,0,0,0,0,0,0,16,98
FULTON,0,0,0,0,0,0,0,5,167
GENESEE,2,1,0,0,0,0,1,10,183
GREENE,2,0,41,0,12,0,0,10,130
HAMILTON,NA,0,0,0,0,0,0,0,13
HERKIMER,0,0,1,0,0,0,0,11,142
JEFFERSON,0,0,0,0,0,0,0,41,713
LEWIS,NA,0,0,0,0,0,0,30,32
LIVINGSTON,0,0,0,0,0,0,0,10,130
MADISON,2,0,1,0,0,0,0,12,194
MONROE,32,2,1,0,4,0,1,123,4706
MONTGOMERY,1,0,0,0,0,0,0,16,130
NASSAU,41,20,5,0,5,0,0,220,4032
NIAGARA,2,0,0,0,0,0,0,13,1051
ONEIDA,9,2,1,0,1,0,0,32,786
ONONDAGA,24,0,0,0,0,0,0,86,2617
ONTARIO,3,0,0,0,0,0,0,20,345
ORANGE,14,6,44,0,42,0,1,57,1410
ORLEANS,0,0,0,0,0,0,0,0,143
OSWEGO,2,0,0,0,0,0,0,14,377
OTSEGO,0,0,0,0,0,0,0,14,288
PUTNAM,0,1,17,0,16,0,0,18,182
RENSSELAER,2,0,106,0,19,0,0,14,631
ROCKLAND,8,10,7,0,9,1,0,78,822
ST. LAWRENCE,NA,0,1,0,0,0,0,15,341
SARATOGA,3,1,59,0,7,0,0,33,549
SCHENECTADY,3,0,8,0,3,0,0,15,831
SCHOHARIE,0,0,0,0,0,0,1,12,116
SCHUYLER,NA,0,0,0,0,0,0,9,30
SENECA,1,0,0,0,0,0,0,11,111
STEUBEN,2,0,0,0,1,0,0,33,279
SUFFOLK,59,31,31,0,153,1,0,243,4506
SULLIVAN,6,0,3,0,1,0,0,10,259
TIOGA,0,0,1,0,0,0,0,12,100
TOMPKINS,2,2,1,0,1,0,0,20,374
ULSTER,7,3,73,0,16,0,0,30,508
WARREN,0,0,12,0,0,0,0,9,191
WASHINGTON,1,0,36,0,2,0,1,21,149
WAYNE,0,0,0,0,0,0,0,11,243
WESTCHESTER,48,20,26,0,43,1,0,224,3804
WYOMING,0,0,0,0,0,0,0,9,96
YATES,NA,0,0,0,0,0,0,7,58
"",,,CRYPTO-,,DENGUE,E. COLI,,EHRLICH/ANAPLAS
"",CHIKUNGUNYA,CHOLERA,SPORIDIOSIS,CYCLOSPORIASIS,FEVER,SHIGA-TOXIN,EHRLICHIOSIS,UNDETERMINED
ALBANY,0,0,4,0,1,9,3,2
ALLEGANY,0,0,0,0,0,1,0,0
BROOME,0,0,2,0,0,5,1,0
CATTARAUGUS,0,0,5,0,0,1,0,0
CAYUGA,0,0,2,1,0,2,0,0
CHAUTAUQUA,0,0,10,0,0,3,0,0
CHEMUNG,0,0,2,0,0,1,0,0
CHENANGO,0,0,1,0,0,0,0,0
CLINTON,0,0,0,0,1,1,0,0
COLUMBIA,0,0,1,0,0,2,8,1
CORTLAND,0,0,6,0,0,0,0,0
DELAWARE,0,0,3,0,0,1,1,0
DUTCHESS,0,0,3,1,3,3,13,1
ERIE,0,1,12,0,2,17,1,0
ESSEX,0,0,2,0,0,0,0,0
FRANKLIN,0,0,4,0,0,2,0,0
FULTON,0,0,2,0,0,0,0,0
GENESEE,0,0,5,0,0,2,0,0
GREENE,0,0,2,0,0,2,1,2
HAMILTON,0,0,0,0,0,0,0,0
HERKIMER,0,0,4,0,0,3,0,0
JEFFERSON,0,0,26,2,0,12,0,0
LEWIS,0,0,15,0,1,4,0,0
LIVINGSTON,0,0,7,0,0,6,0,0
MADISON,0,0,15,0,1,4,0,0
MONROE,0,0,33,0,1,21,1,0
MONTGOMERY,0,0,8,0,0,1,0,0
NASSAU,2,0,7,4,9,19,2,1
NIAGARA,0,0,4,0,0,1,0,0
ONEIDA,0,0,18,1,1,6,0,0
ONONDAGA,0,0,18,0,2,44,1,0
ONTARIO,0,0,3,0,0,1,0,0
ORANGE,0,0,5,1,2,5,9,0
ORLEANS,0,0,3,0,0,1,0,0
OSWEGO,0,0,2,0,1,1,0,0
OTSEGO,0,0,8,0,0,0,0,2
PUTNAM,0,0,1,0,0,2,8,2
RENSSELAER,0,0,5,0,0,1,3,0
ROCKLAND,2,0,4,1,3,4,0,2
ST. LAWRENCE,0,0,4,0,0,7,0,0
SARATOGA,0,0,7,0,0,3,2,0
SCHENECTADY,0,0,6,0,0,2,0,0
SCHOHARIE,0,0,6,0,0,1,0,0
SCHUYLER,0,0,1,0,0,0,0,0
SENECA,0,0,0,0,0,0,0,0
STEUBEN,0,0,6,0,0,3,1,0
SUFFOLK,1,0,15,6,3,14,84,2
SULLIVAN,0,0,0,0,0,3,2,0
TIOGA,0,0,4,0,0,2,0,0
TOMPKINS,0,0,9,0,0,3,0,0
ULSTER,0,0,3,1,0,5,3,0
WARREN,0,0,0,0,0,0,0,0
WASHINGTON,0,0,2,0,0,7,1,1
WAYNE,0,0,7,0,0,5,0,0
WESTCHESTER,5,0,16,6,15,10,11,3
WYOMING,0,0,4,0,0,2,0,0
YATES,0,0,0,0,0,0,0,0
"",,,,,HEMOLYTIC,,,,
"",ENCEPHALITIS,,,HAEMOPHILUS,UREMIC,,HEPATITIS B,HEPATITIS B,HEPATITIS C
"",(NON-WNV),GIARDIASIS,GONORRHEA,INFLUENZAE,SYNDROME,HEPATITIS A,ACUTE,CHRONIC*,ACUTE
ALBANY,1,25,459,6,0,4,1,72,10
ALLEGANY,2,14,13,0,0,0,0,1,1
BROOME,2,11,202,9,1,0,2,21,13
CATTARAUGUS,0,7,67,2,0,0,0,1,0
CAYUGA,0,2,21,2,0,0,0,4,2
CHAUTAUQUA,1,13,118,3,0,1,0,6,3
