"",,,ANAPLAS-,"ARBO, OTHER",,,,CAMPYLO-,
"",AIDS*,AMEBIASIS,MOSIS,NON-INVASIVE,BABESIOSIS,BOTULISM,BRUCELLOSIS,BACTERIOSIS,CHLAMYDIA
ALBANY,3.6,1.9,25.9,0.0,3.6,0.0,0.0,13.6,568.9
ALLEGANY,2.1,0.0,0.0,0.0,2.1,0.0,0.0,25.3,219.1
BROOME,5.6,0.0,0.0,0.0,0.0,0.0,0.0,10.7,356.1
CATTARAUGUS,1.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,368.3
CAYUGA,1.3,0.0,1.3,0.0,0.0,0.0,0.0,16.6,265.7
CHAUTAUQUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,412.1
CHEMUNG,2.3,0.0,0.0,0.0,0.0,0.0,0.0,18.4,372.1
CHENANGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,210.9
CLINTON,2.5,0.0,0.0,0.0,1.2,0.0,0.0,13.5,345.8
COLUMBIA,4.9,0.0,121.9,0.0,40.6,0.0,0.0,11.4,292.6
CORTLAND,0.0,0.0,2.1,0.0,0.0,0.0,0.0,16.5,344.4
DELAWARE,0.0,0.0,2.2,0.0,0.0,0.0,0.0,21.7,225.8
DUTCHESS,2.7,3.0,33.1,0.3,18.9,0.0,0.0,14.2,313.1
ERIE,3.9,1.2,0.0,0.0,0.0,0.0,0.0,9.3,563.7
ESSEX,NA,0.0,5.2,0.0,2.6,0.0,0.0,28.6,129.9
FRANKLIN,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,193.4
FULTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,309.3
GENESEE,3.4,1.7,0.0,0.0,0.0,0.0,1.7,17.0,310.5
GREENE,4.2,0.0,86.1,0.0,25.2,0.0,0.0,21.0,273.0
HAMILTON,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.9
HERKIMER,0.0,0.0,1.6,0.0,0.0,0.0,0.0,17.4,225.0
JEFFERSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,606.1
LEWIS,NA,0.0,0.0,0.0,0.0,0.0,0.0,111.3,118.7
LIVINGSTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,200.9
MADISON,2.8,0.0,1.4,0.0,0.0,0.0,0.0,16.7,270.0
MONROE,4.3,0.3,0.1,0.0,0.5,0.0,0.1,16.4,627.8
MONTGOMERY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,261.9
NASSAU,3.0,1.5,0.4,0.0,0.4,0.0,0.0,16.2,296.2
