COUNTY,2017 COUNT,2017 RATE,2016 COUNT,2016 RATE,2015 COUNT,2015 RATE,2014 COUNT,2014 RATE
ALBANY,5,1.6,9,2.9,3,0.9,7,2.3
ALLEGANY,0,0,1,2.1,1,2.1,0,0
BROOME,3,1.5,5,2.5,4,2,6,3
CATTARAUGUS,2,2.6,1,1.3,1,1.3,0,0
CAYUGA,3,3.9,2,2.6,0,0,0,0
CHAUTAUQUA,2,1.5,3,2.3,4,3,3,2.3
CHEMUNG,0,0,1,1.1,1,1.1,1,1.1
CHENANGO,1,2.1,0,0,1,2,1,2
CLINTON,1,1.2,1,1.2,0,0,1,1.2
COLUMBIA,0,0,2,3.3,1,1.6,0,0
CORTLAND,0,0,0,0,0,0,1,2
DELAWARE,0,0,1,2.2,0,0,1,2.1
DUTCHESS,5,1.7,3,1,6,2,3,1
ERIE,17,1.8,17,1.8,20,2.2,11,1.2
ESSEX,1,2.6,0,0,1,2.6,1,2.6
FRANKLIN,1,2,2,3.9,2,4,2,3.8
FULTON,1,1.9,0,0,0,0,0,0
GENESEE,3,5.1,2,3.4,1,1.7,0,0
GREENE,0,0,2,4.2,2,4.2,0,0
HAMILTON,0,0,0,0,0,0,0,0
HERKIMER,4,6.4,3,4.8,2,3.2,2,3.1
JEFFERSON,9,7.9,12,10.2,0,0,0,0
LEWIS,10,37.2,4,14.8,5,18.4,1,3.7
LIVINGSTON,5,7.8,6,9.3,1,1.5,1,1.5
MADISON,3,4.2,4,5.6,4,5.5,1,1.4
MONROE,30,4,21,2.8,19,2.5,18,2.4
MONTGOMERY,2,4.1,1,2,2,4,1,2
NASSAU,18,1.3,19,1.4,12,0.8,25,1.8
NIAGARA,0,0,1,0.5,4,1.9,7,3.3
ONEIDA,2,0.9,6,2.6,13,5.6,8,3.5
ONONDAGA,14,3,44,9.4,19,4.1,9,1.9
ONTARIO,2,1.8,1,0.9,1,0.9,3,2.7
ORANGE,4,1.1,5,1.3,6,1.6,5,1.4
ORLEANS,1,2.4,1,2.4,2,4.8,0,0
OSWEGO,2,1.7,1,0.8,1,0.8,2,1.6
OTSEGO,1,1.7,0,0,4,6.5,1,1.6
PUTNAM,1,1,2,2,0,0,2,2
RENSSELAER,2,1.2,1,0.6,1,0.6,2,1.2
ROCKLAND,9,2.8,4,1.2,6,1.8,5,1.5
ST. LAWRENCE,6,5.5,7,6.3,2,1.8,2,1.8
SARATOGA,4,1.8,3,1.3,2,0.9,4,1.8
SCHENECTADY,4,2.6,2,1.3,0,0,3,1.9
SCHOHARIE,0,0,1,3.2,1,3.2,2,6.2
SCHUYLER,2,11.1,0,0,0,0,0,0
SENECA,1,2.9,0,0,1,2.9,0,0
STEUBEN,3,3.1,3,3.1,1,1,2,2
SUFFOLK,17,1.1,14,0.9,9,0.6,22,1.4
SULLIVAN,2,2.7,3,4,0,0,1,1.3
TIOGA,0,0,2,4,1,2,1,2
TOMPKINS,5,4.8,3,2.9,7,6.7,6,5.8
ULSTER,2,1.1,5,2.8,4,2.2,4,2.2
WARREN,5,7.7,0,0,1,1.5,0,0
WASHINGTON,0,0,7,11.2,3,4.8,0,0
WAYNE,5,5.5,5,5.5,4,4.4,4,4.3
WESTCHESTER,7,0.7,10,1,12,1.2,15,1.5
WYOMING,1,2.5,2,4.9,1,2.4,2,4.8
YATES,3,12,0,0,0,0,1,4
