COUNTY,2008 COUNT,2008 RATE,2009 COUNT,2009 RATE,2010 COUNT,2010 RATE,2011 COUNT,2011 RATE,2012 COUNT,2012 RATE,2013 COUNT,2013 RATE,2014 COUNT,2014 RATE,2015 COUNT,2015 RATE,2016 COUNT,2016 RATE,2017 COUNT,2017 RATE
Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,1,1.6
Andrews,1,7.2,0,0,0,0,0,0,0,0,0,0,0,0,1,6.2,0,0,2,12
Angelina,3,3.6,0,0,1,1.2,5,5.8,1,1.2,3,3.5,0,0,0,0,0,0,1,1.1
Aransas,0,0,0,0,0,0,0,0,0,0,2,6.9,1,4.1,0,0,0,0,0,0
Archer,0,0,0,0,0,0,0,0,1,10.4,1,10.4,3,31.9,1,10.5,0,0,1,10.4
Armstrong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atascosa,0,0,2,4.5,0,0,1,2.1,0,0,0,0,9,18.3,0,0,1,1.9,4,7.6
Austin,0,0,0,0,0,0,2,6.8,1,3.4,0,0,0,0,0,0,1,3,1,3
Bailey,0,0,0,0,0,0,1,15.9,0,0,0,0,0,0,0,0,0,0,0,0
Bandera,0,0,0,0,2,9.4,1,4.6,0,0,2,9,1,4.5,0,0,1,4.3,0,0
Bastrop,5,6.8,2,2.7,0,0,0,0,3,3.4,2,2.2,0,0,1,1.2,1,1.1,0,0
Baylor,0,0,0,0,0,0,2,50.2,0,0,0,0,1,26.8,0,0,0,0,0,0
Bee,0,0,0,0,1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell,3,1.1,9,3.2,3,1,13,4.4,6,2,10,3.3,6,1.7,14,4,21,5.8,22,6
Bexar,12,0.7,8,0.5,16,1,18,1.1,23,1.4,29,1.7,19,1,25,1.3,54,2.8,81,4.1
Blanco,0,0,0,0,0,0,0,0,0,0,0,0,1,8.7,0,0,0,0,1,8.2
Borden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosque,1,5.5,0,0,0,0,0,0,0,0,1,5.5,2,10.5,1,5.2,0,0,4,20.2
Bowie,8,8.6,4,4.2,0,0,2,2.1,3,3.2,3,3.2,6,6.4,3,3.2,5,5.3,7,7.4
Brazoria,2,0.7,0,0,7,2.2,8,2.4,9,2.7,16,4.6,12,3.4,4,1.1,5,1.4,6,1.6
Brazos,0,0,0,0,3,1.7,1,0.6,7,3.9,12,6.6,8,3.8,9,4.2,9,4.1,15,6.7
Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,1,10.1,1,10
Briscoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.2
Brown,0,0,0,0,0,0,0,0,0,0,2,4.9,0,0,0,0,0,0,3,7.5
Burleson,0,0,0,0,1,5.4,3,15.9,0,0,0,0,2,11,0,0,1,5.3,1,5.3
Burnet,0,0,0,0,0,0,0,0,0,0,1,1.9,1,2.2,1,2.1,3,6.2,3,6.1
Caldwell,1,2.7,0,0,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,1,4.4,0,0,0,0,0,0
Callahan,2,14.5,0,0,0,0,0,0,1,6.7,0,0,0,0,0,0,0,0,0,0
Cameron,7,1.8,8,2,9,2.2,8,1.9,9,2.1,7,1.6,4,0.9,8,1.8,38,8.3,35,7.5
Camp,0,0,0,0,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carson,0,0,0,0,0,0,1,14.7,0,0,0,0,0,0,1,15.7,2,31.3,0,0
Cass,1,3.3,1,3.3,0,0,0,0,0,0,3,9.8,0,0,0,0,1,3.2,2,6.3
Castro,0,0,0,0,0,0,1,13.7,0,0,0,0,0,0,0,0,0,0,1,11.5
Chambers,1,3,0,0,0,0,1,2.7,1,2.6,1,2.6,0,0,0,0,0,0,0,0
Cherokee,1,2,0,0,0,0,0,0,0,0,0,0,1,1.9,0,0,2,3.7,0,0
Childress,1,13,0,0,0,0,1,12.6,1,12.5,0,0,0,0,2,27.5,2,27.4,1,13.6
Clay,1,9,0,0,0,0,0,0,1,8.9,0,0,1,9,0,0,1,8.8,1,8.8
Cochran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.3,0,0
Coleman,1,11.5,1,11.6,0,0,0,0,1,11.2,0,0,0,0,1,11,0,0,0,0
Collin,21,2.8,11,1.4,14,1.7,17,1.9,11,1.2,19,2,26,2.8,16,1.7,35,3.5,42,4.1
Collingsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.6,0,0
Colorado,2,9.2,0,0,0,0,0,0,2,8.8,1,4.4,0,0,0,0,0,0,0,0
Comal,0,0,1,0.9,1,0.8,2,1.6,3,2.3,3,2.2,0,0,2,1.6,5,3.8,6,4.4
Comanche,0,0,0,0,1,7,1,7,0,0,1,7,0,0,3,20.8,2,13.8,3,20.6
Concho,0,0,0,0,1,26,0,0,0,0,0,0,1,23.9,0,0,0,0,0,0
Cooke,1,2.5,1,2.5,2,4.9,1,2.4,0,0,2,4.7,1,2.5,2,5,2,5,0,0
Coryell,0,0,0,0,1,1.2,3,3.7,2,2.4,3,3.6,1,1.2,1,1.2,5,6.1,4,4.8
Cottle,1,59,0,0,0,0,0,0,0,0,1,53.3,1,64.1,0,0,1,63.4,0,0
Crane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crockett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crosby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culberson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38.5,0,0
Dallam,0,0,1,15.8,1,14.8,1,14.7,3,43.8,1,14.5,2,27.5,0,0,1,13.3,1,13.1
Dallas,29,1.2,28,1.2,34,1.4,48,2,32,1.3,44,1.8,61,2.5,50,2,72,2.9,71,2.8
Dawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.9,0,0
Deaf Smith,1,5.3,0,0,0,0,0,0,1,4.8,0,0,1,4.8,1,4.8,4,18.8,7,32.4
Delta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0
Denton,12,1.9,13,2,27,3.8,9,1.2,21,2.7,18,2.2,30,3.9,26,3.3,27,3.3,29,3.4
De Witt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.7
Dickens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimmit,0,0,0,0,0,0,1,10.3,0,0,0,0,0,0,0,0,0,0,1,9.4
Donley,1,25.3,0,0,0,0,1,25.8,0,0,0,0,0,0,0,0,1,26.3,3,78.4
Duval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.2,0,0
Eastland,0,0,0,0,0,0,0,0,0,0,0,0,1,5.2,1,5.2,2,10.3,0,0
Ector,0,0,0,0,1,0.8,0,0,0,0,0,0,0,0,2,1.3,3,2,1,0.7
Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis,1,0.7,0,0,1,0.6,2,1.2,2,1.2,3,1.7,5,3,3,1.7,8,4.5,17,9.3
El Paso,1,0.1,0,0,6,0.8,4,0.5,3,0.4,7,0.9,5,0.6,4,0.5,9,1,4,0.4
Erath,2,5.7,1,2.8,1,2.5,3,7.5,4,9.8,2,4.9,6,15.3,2,5.1,6,15,4,9.9
Falls,0,0,0,0,0,0,0,0,2,10.6,1,5.3,0,0,1,5.4,1,5.3,1,5.3
Fannin,0,0,0,0,0,0,0,0,0,0,1,2.8,0,0,0,0,2,5.5,3,8.2
Fayette,1,4.1,0,0,0,0,2,7.8,0,0,0,0,3,11.5,0,0,3,11.2,4,14.7
Fisher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.4,0,0
Floyd,0,0,0,0,0,0,0,0,0,0,1,14.9,0,0,0,0,1,15.2,1,15.2
Foard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Bend,8,1.5,5,0.9,5,0.9,18,3,20,3.2,18,2.7,25,3.6,24,3.3,17,2.3,22,2.8
Franklin,2,19,1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,1,8.8,0,0
Freestone,0,0,0,0,0,0,1,4.8,0,0,1,4.7,1,4.8,2,9.6,1,4.7,1,4.7
Frio,0,0,0,0,0,0,2,11.1,0,0,1,5.5,0,0,0,0,0,0,0,0
Gaines,0,0,0,0,2,12.2,0,0,0,0,0,0,0,0,0,0,2,10,1,4.9
Galveston,0,0,3,1,3,1,6,2,8,2.6,6,1.9,9,2.9,6,1.9,14,4.4,11,3.4
Garza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gillespie,2,8.2,1,4,0,0,0,0,0,0,0,0,0,0,2,7.3,0,0,3,10.6
Glasscock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76
Goliad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
