COUNTY,2013 COUNT,2013 RATE,2014 COUNT,2014 RATE,2015 COUNT,2015 RATE,2016 COUNT,2016 RATE,2017 COUNT,2017 RATE
Adams,3,*,1,*,2,10.3,1,*,2,*
Asotin,1,*,2,*,0,0,1,*,1,*
Benton,27,14.7,23,12.5,26,13.8,25,13.1,24,12.4
Chelan,2,*,5,6.7,6,8,4,*,3,*
Clallam,5,6.9,4,*,5,6.9,7,9.5,3,*
Clark,46,10.6,58,13.1,49,10.8,77,16.7,66,14
Columbia,0,0,1,*,0,0,0,0,1,*
Cowlitz,9,8.7,14,13.5,15,14.4,14,13.4,10,9.4
Douglas,2,*,0,*,2,*,3,*,2,*
Ferry,0,0,2,*,0,0,1,*,0,0
Franklin,15,17.7,10,11.5,11,12.6,11,12.4,5,5.5
Garfield,0,0,1,*,1,*,0,0,0,0
Grant,14,15.3,12,12.9,10,10.6,3,*,13,13.6
Grays Harbor,7,9.6,5,6.8,5,6.8,4,*,8,11
Island,7,8.8,7,8.8,6,7.4,3,*,7,8.5
Jefferson,5,16.5,1,*,1,*,5,16.1,2,*
King,199,10,229,11.4,435,21.2,234,11.1,242,11.2
Kitsap,19,7.5,29,11.3,22,8.5,23,8.8,21,8
Kittitas,5,11.9,2,*,6,14.1,5,11.4,9,20.1
Klickitat,2,*,4,*,2,*,3,*,3,*
Lewis,5,6.6,12,15.7,8,10.4,6,7.8,11,14.2
Lincoln,2,*,0,0,1,*,1,*,1,*
Mason,9,14.6,6,9.7,9,14.5,7,11.2,4,*
Okanogan,1,*,4,*,1,*,4,*,4,*
Pacific,2,*,0,0,2,*,3,*,2,*
Pend Oreille,1,*,1,*,0,0,0,0,0,0
Pierce,74,9.2,77,9.4,95,11.4,101,12,116,13.5
San Juan,0,0,2,*,8,49.4,1,*,0,0
Skagit,15,12.6,9,7.5,6,5,6,4.9,14,11.3
Skamania,1,*,0,0,2,*,0,0,0,0
Snohomish,64,8.8,89,12,120,15.8,78,10.1,80,10.1
Spokane,33,6.9,30,6.2,45,9.2,40,8.1,46,9.2
Stevens,6,13.7,5,11.4,5,11.4,4,*,6,13.5
Thurston,32,12.3,22,8.3,40,15,19,7,27,9.8
Wahkiakum,0,0,0,0,0,0,0,0,0,0
Walla Walla,8,13.4,2,*,8,13.2,7,11.5,6,9.8
Whatcom,16,7.8,15,7.2,26,12.4,23,10.8,18,8.3
Whitman,2,*,4,*,6,12.7,0,0,0,0
Yakima,31,12.5,53,21.3,48,19.2,30,12,53,20.9
