FIPS,COUNTY_NAME,VALUE
01001,AUTAUGA,8678
01003,BALDWIN,11212
01009,BLOUNT,21858
01015,CALHOUN,11417
01017,CHAMBERS,10607
01021,CHILTON,7273
01025,CLARKE,3734
01031,COFFEE,15005
01033,COLBERT,9020
01035,CONECUH,6851
01041,CRENSHAW,12081
01043,CULLMAN,32917
01047,DALLAS,14589
01049,DE KALB,37068
01051,ELMORE,6893
01055,ETOWAH,8872
01059,FRANKLIN,15552
01077,LAUDERDALE,16372
01079,LAWRENCE,16607
01085,LOWNDES,17865
01089,MADISON,9177
01091,MARENGO,12824
01093,MARION,8754
01095,MARSHALL,22875
01101,MONTGOMERY,22508
01103,MORGAN,15756
01107,PICKENS,6944
01109,PIKE,14067
01111,RANDOLPH,15193
01119,SUMTER,10812
01121,TALLADEGA,7260
01123,TALLAPOOSA,4295
01125,TUSCALOOSA,5990
01127,WALKER,6168
01129,WASHINGTON,6884
