FIPS,COUNTY_NAME,VALUE
01003,BALDWIN,25
01009,BLOUNT,129
01015,CALHOUN,99
01017,CHAMBERS,190
01021,CHILTON,17
01025,CLARKE,7
01031,COFFEE,29
01033,COLBERT,49
01035,CONECUH,17
01041,CRENSHAW,59
01043,CULLMAN,699
01047,DALLAS,12
01049,DE KALB,220
01051,ELMORE,25
01055,ETOWAH,248
01059,FRANKLIN,27
01077,LAUDERDALE,32
01079,LAWRENCE,82
01085,LOWNDES,68
01089,MADISON,31
01091,MARENGO,49
01093,MARION,27
01095,MARSHALL,48
01101,MONTGOMERY,26
01103,MORGAN,862
01109,PIKE,323
01111,RANDOLPH,142
01121,TALLADEGA,22
01123,TALLAPOOSA,5
01125,TUSCALOOSA,12
01127,WALKER,45
01129,WASHINGTON,20
