FIPS,COUNTY_NAME,VALUE
01001,AUTAUGA,8678
01003,BALDWIN,11237
01005,BARBOUR,13094
01007,BIBB,4362
01009,BLOUNT,21987
01011,BULLOCK,6316
01013,BUTLER,6396
01015,CALHOUN,11516
01017,CHAMBERS,10797
01019,CHEROKEE,7415
01021,CHILTON,7290
01023,CHOCTAW,3290
01025,CLARKE,3741
01027,CLAY,11642
01029,CLEBURNE,7430
01031,COFFEE,15034
01033,COLBERT,9069
01035,CONECUH,6868
01037,COOSA,3236
01039,COVINGTON,14751
01041,CRENSHAW,12140
01043,CULLMAN,33616
01045,DALE,8000
01047,DALLAS,14601
01049,DE KALB,37288
01051,ELMORE,6918
01053,ESCAMBIA,4587
01055,ETOWAH,9120
01057,FAYETTE,5980
01059,FRANKLIN,15579
01061,GENEVA,15465
01063,GREENE,7356
01065,HALE,14636
01067,HENRY,9520
01069,HOUSTON,12350
01071,JACKSON,22501
01073,JEFFERSON,3081
01075,LAMAR,3419
01077,LAUDERDALE,16404
01079,LAWRENCE,16689
01081,LEE,4654
01083,LIMESTONE,12794
01085,LOWNDES,17933
01087,MACON,6302
01089,MADISON,9208
01091,MARENGO,12873
01093,MARION,8781
01095,MARSHALL,22923
01097,MOBILE,8620
01099,MONROE,9293
01101,MONTGOMERY,22534
01103,MORGAN,16618
01105,PERRY,10374
01107,PICKENS,6944
01109,PIKE,14390
01111,RANDOLPH,15335
01113,RUSSELL,4482
01115,SAINT CLAIR,6805
01117,SHELBY,3968
01119,SUMTER,10812
01121,TALLADEGA,7282
01123,TALLAPOOSA,4300
01125,TUSCALOOSA,6002
01127,WALKER,6213
01129,WASHINGTON,6904
01131,WILCOX,7565
01133,WINSTON,7113
