FIPS,COUNTY_NAME,VALUE
01001,AUTAUGA,16466
01003,BALDWIN,22381
01005,BARBOUR,22548
01007,BIBB,8008
01009,BLOUNT,46356
01011,BULLOCK,10424
01013,BUTLER,9948
01015,CALHOUN,20507
01017,CHAMBERS,20244
01019,CHEROKEE,12824
01021,CHILTON,13292
01023,CHOCTAW,5213
01025,CLARKE,6794
01027,CLAY,19272
01029,CLEBURNE,13372
01031,COFFEE,31580
01033,COLBERT,15858
01035,CONECUH,11553
01037,COOSA,5663
01039,COVINGTON,27322
01041,CRENSHAW,21879
01043,CULLMAN,58445
01045,DALE,13205
01047,DALLAS,25898
01049,DE KALB,62839
01051,ELMORE,11703
01053,ESCAMBIA,9729
01055,ETOWAH,20047
01057,FAYETTE,10811
01059,FRANKLIN,26164
01061,GENEVA,31798
01063,GREENE,12977
01065,HALE,28827
01067,HENRY,19925
01069,HOUSTON,21592
01071,JACKSON,39362
01073,JEFFERSON,5297
01075,LAMAR,5525
01077,LAUDERDALE,30324
01079,LAWRENCE,31187
01081,LEE,7911
01083,LIMESTONE,22027
01085,LOWNDES,40173
01087,MACON,12601
01089,MADISON,15913
01091,MARENGO,20006
01093,MARION,14884
01095,MARSHALL,39060
01097,MOBILE,18973
01099,MONROE,15892
01101,MONTGOMERY,47183
01103,MORGAN,29688
01105,PERRY,16648
01107,PICKENS,13691
01109,PIKE,24412
01111,RANDOLPH,26325
01113,RUSSELL,7731
01115,SAINT CLAIR,11471
01117,SHELBY,9198
01119,SUMTER,19620
01121,TALLADEGA,13529
01123,TALLAPOOSA,9069
01125,TUSCALOOSA,10342
01127,WALKER,11069
01129,WASHINGTON,11386
01131,WILCOX,16636
01133,WINSTON,11636
