FIPS,COUNTY_NAME,VALUE
01003,BALDWIN,313
01005,BARBOUR,3895996
01009,BLOUNT,12653248
01011,BULLOCK,416000
01013,BUTLER,6062245
01015,CALHOUN,1964032
01017,CHAMBERS,100
01019,CHEROKEE,6341184
01021,CHILTON,192
01025,CLARKE,300
01027,CLAY,4228583
01029,CLEBURNE,5850399
01031,COFFEE,8263837
01033,COLBERT,1094358
01039,COVINGTON,3436482
01041,CRENSHAW,8578086
01043,CULLMAN,21492949
01045,DALE,8448640
01047,DALLAS,210
01049,DE KALB,22554237
01055,ETOWAH,4223585
01057,FAYETTE,844516
01059,FRANKLIN,6550273
01061,GENEVA,4839301
01063,GREENE,230
01067,HENRY,5290825
01071,JACKSON,6553147
01075,LAMAR,312809
01077,LAUDERDALE,915548
01079,LAWRENCE,7882206
01081,LEE,30110
01083,LIMESTONE,2038192
01085,LOWNDES,2721698
01087,MACON,184
01089,MADISON,1572
01091,MARENGO,495
01093,MARION,6071859
01095,MARSHALL,12292081
01101,MONTGOMERY,804636
01103,MORGAN,4010832
01105,PERRY,142
01107,PICKENS,3025483
01109,PIKE,5614367
01111,RANDOLPH,8022827
01115,SAINT CLAIR,2766706
01117,SHELBY,84
01121,TALLADEGA,849798
01123,TALLAPOOSA,750000
01125,TUSCALOOSA,1460287
01127,WALKER,2510960
01131,WILCOX,80
01133,WINSTON,501030
