FIPS,COUNTY_NAME,VALUE
01001,AUTAUGA,1025
01005,BARBOUR,158834
01007,BIBB,875
01009,BLOUNT,258259
01015,CALHOUN,1529
01017,CHAMBERS,671
01021,CHILTON,1305
01023,CHOCTAW,28974
01025,CLARKE,516
01027,CLAY,174950
01031,COFFEE,193883
01037,COOSA,413
01039,COVINGTON,739723
01041,CRENSHAW,229585
01043,CULLMAN,1024436
01045,DALE,166950
01047,DALLAS,766
01049,DE KALB,1230837
01051,ELMORE,2612
01053,ESCAMBIA,1117
01055,ETOWAH,182284
01057,FAYETTE,1308
01059,FRANKLIN,120431
01061,GENEVA,54171
01063,GREENE,121
01065,HALE,579
01067,HENRY,115101
01069,HOUSTON,1237
01071,JACKSON,87610
01073,JEFFERSON,3490
01075,LAMAR,353
01077,LAUDERDALE,204921
01079,LAWRENCE,214571
01081,LEE,2531
01083,LIMESTONE,68262
01085,LOWNDES,490
01087,MACON,917
01089,MADISON,4912
01091,MARENGO,764
01093,MARION,32447
01095,MARSHALL,290921
01097,MOBILE,5601
01099,MONROE,516
01101,MONTGOMERY,1130
01103,MORGAN,2480
01105,PERRY,523
01107,PICKENS,223634
01109,PIKE,149570
01111,RANDOLPH,341291
01113,RUSSELL,885
01115,SAINT CLAIR,1275
01117,SHELBY,2994
01121,TALLADEGA,1111
01123,TALLAPOOSA,888
01125,TUSCALOOSA,3226
01129,WASHINGTON,228349
01131,WILCOX,328
01133,WINSTON,61575
