FIPS,COUNTY_NAME,VALUE
01003,BALDWIN,54
01007,BIBB,78
01009,BLOUNT,127
01011,BULLOCK,116
01013,BUTLER,75
01015,CALHOUN,58
01021,CHILTON,84
01027,CLAY,28
01029,CLEBURNE,15
01031,COFFEE,31
01033,COLBERT,250
01035,CONECUH,60
01039,COVINGTON,438
01043,CULLMAN,56
01049,DE KALB,81
01051,ELMORE,215
01053,ESCAMBIA,26
01055,ETOWAH,154
01059,FRANKLIN,29
01061,GENEVA,189
01063,GREENE,24
01067,HENRY,18
01069,HOUSTON,62
01071,JACKSON,130
01073,JEFFERSON,160
01077,LAUDERDALE,122
01079,LAWRENCE,90
01081,LEE,43
01083,LIMESTONE,314
01085,LOWNDES,30
01089,MADISON,177
01093,MARION,46
01095,MARSHALL,222
01097,MOBILE,173
01099,MONROE,28
01103,MORGAN,170
01105,PERRY,111
01107,PICKENS,18
01111,RANDOLPH,5
01117,SHELBY,208
01119,SUMTER,28
01121,TALLADEGA,122
01123,TALLAPOOSA,34
01125,TUSCALOOSA,203
01127,WALKER,61
01129,WASHINGTON,450
01133,WINSTON,46
