FIPS,COUNTY_NAME,VALUE
01001,AUTAUGA,81
01003,BALDWIN,169
01007,BIBB,80
01009,BLOUNT,103
01019,CHEROKEE,85
01021,CHILTON,35
01031,COFFEE,39
01033,COLBERT,45
01037,COOSA,23
01039,COVINGTON,141
01041,CRENSHAW,28
01043,CULLMAN,257
01047,DALLAS,120
01049,DE KALB,220
01051,ELMORE,159
01053,ESCAMBIA,63
01055,ETOWAH,307
01061,GENEVA,114
01071,JACKSON,274
01073,JEFFERSON,24
01077,LAUDERDALE,124
01079,LAWRENCE,294
01083,LIMESTONE,376
01089,MADISON,150
01093,MARION,40
01095,MARSHALL,201
01097,MOBILE,207
01099,MONROE,219
01101,MONTGOMERY,67
01103,MORGAN,90
01111,RANDOLPH,20
01117,SHELBY,120
01121,TALLADEGA,8
01125,TUSCALOOSA,86
01133,WINSTON,109
