FIPS,COUNTY_NAME,VALUE
01001,AUTAUGA,1189
01003,BALDWIN,940
01005,BARBOUR,272
01007,BIBB,355
01009,BLOUNT,594
01011,BULLOCK,518
01013,BUTLER,645
01015,CALHOUN,987
01017,CHAMBERS,592
01019,CHEROKEE,473
01021,CHILTON,728
01023,CHOCTAW,139
01025,CLARKE,533
01027,CLAY,259
01029,CLEBURNE,289
01031,COFFEE,770
01033,COLBERT,338
01035,CONECUH,417
01037,COOSA,56
01039,COVINGTON,1090
01041,CRENSHAW,371
01043,CULLMAN,2570
01045,DALE,486
01047,DALLAS,434
01049,DE KALB,2120
01051,ELMORE,859
01053,ESCAMBIA,518
01055,ETOWAH,1281
01057,FAYETTE,331
01059,FRANKLIN,1006
01061,GENEVA,1044
01063,GREENE,482
01065,HALE,113
01067,HENRY,212
01069,HOUSTON,823
01071,JACKSON,2340
01073,JEFFERSON,506
01075,LAMAR,258
01077,LAUDERDALE,2228
01079,LAWRENCE,1203
01081,LEE,592
01083,LIMESTONE,2548
01085,LOWNDES,340
01087,MACON,637
01089,MADISON,1450
01091,MARENGO,467
01093,MARION,313
01095,MARSHALL,1520
01097,MOBILE,1040
01099,MONROE,1600
01101,MONTGOMERY,1225
01103,MORGAN,1249
01105,PERRY,363
01107,PICKENS,423
01109,PIKE,303
01111,RANDOLPH,440
01113,RUSSELL,432
01115,SAINT CLAIR,537
01117,SHELBY,692
01119,SUMTER,6
01121,TALLADEGA,511
01123,TALLAPOOSA,507
01125,TUSCALOOSA,1025
01127,WALKER,490
01129,WASHINGTON,945
01131,WILCOX,644
01133,WINSTON,648
