FIPS,COUNTY_NAME,VALUE
01001,AUTAUGA,12
01003,BALDWIN,109
01005,BARBOUR,52
01007,BIBB,48
01009,BLOUNT,112
01013,BUTLER,6
01023,CHOCTAW,16
01027,CLAY,40
01031,COFFEE,20
01039,COVINGTON,28
01043,CULLMAN,112
01045,DALE,43
01049,DE KALB,30
01053,ESCAMBIA,82
01055,ETOWAH,12
01057,FAYETTE,22
01059,FRANKLIN,15
01061,GENEVA,69
01067,HENRY,40
01071,JACKSON,79
01073,JEFFERSON,127
01075,LAMAR,15
01077,LAUDERDALE,171
01079,LAWRENCE,41
01083,LIMESTONE,182
01089,MADISON,24
01091,MARENGO,12
01095,MARSHALL,131
01097,MOBILE,143
01101,MONTGOMERY,20
01103,MORGAN,87
01111,RANDOLPH,38
01113,RUSSELL,91
01115,SAINT CLAIR,30
01117,SHELBY,184
01119,SUMTER,34
01121,TALLADEGA,66
01125,TUSCALOOSA,228
01133,WINSTON,121
