FIPS,COUNTY_NAME,VALUE
01001,AUTAUGA,96
01003,BALDWIN,158
01005,BARBOUR,137
01009,BLOUNT,258
01011,BULLOCK,19
01013,BUTLER,1605
01017,CHAMBERS,77
01021,CHILTON,125
01023,CHOCTAW,30
01025,CLARKE,29
01027,CLAY,29
01029,CLEBURNE,132
01031,COFFEE,8
01033,COLBERT,131
01037,COOSA,98
01039,COVINGTON,211
01041,CRENSHAW,75
01043,CULLMAN,610
01045,DALE,15
01047,DALLAS,200
01049,DE KALB,17751
01051,ELMORE,200
01053,ESCAMBIA,112
01055,ETOWAH,98
01057,FAYETTE,61
01059,FRANKLIN,26
01061,GENEVA,55
01063,GREENE,122
01065,HALE,198
01067,HENRY,154
01069,HOUSTON,141
01071,JACKSON,378
01073,JEFFERSON,303
01077,LAUDERDALE,544
01079,LAWRENCE,662
01081,LEE,1059
01083,LIMESTONE,2209
01085,LOWNDES,201
01087,MACON,36
01089,MADISON,319
01091,MARENGO,156
01093,MARION,205
01095,MARSHALL,268
01097,MOBILE,299
01099,MONROE,126
01101,MONTGOMERY,213
01103,MORGAN,705
01105,PERRY,24
01109,PIKE,42
01111,RANDOLPH,206
01115,SAINT CLAIR,383
01117,SHELBY,304
01121,TALLADEGA,274
01123,TALLAPOOSA,108
01125,TUSCALOOSA,34
01127,WALKER,125
01129,WASHINGTON,172
01131,WILCOX,122
01133,WINSTON,20
