FIPS,COUNTY_NAME,VALUE
05001,ARKANSAS,127
05005,BAXTER,74
05007,BENTON,379556
05011,BRADLEY,292333
05013,CALHOUN,45
05015,CARROLL,319035
05019,CLARK,530
05021,CLAY,42
05025,CLEVELAND,138600
05027,COLUMBIA,36
05029,CONWAY,264
05031,CRAIGHEAD,66
05033,CRAWFORD,127
05035,CRITTENDEN,300
05043,DREW,75
05045,FAULKNER,501
05047,FRANKLIN,100
05051,GARLAND,170
05053,GRANT,360
05057,HEMPSTEAD,237416
05061,HOWARD,639654
05065,IZARD,104
05067,JACKSON,200
05069,JEFFERSON,539
05077,LEE,80
05083,LOGAN,41635
05085,LONOKE,1069
05087,MADISON,240464
05089,MARION,236
05091,MILLER,54
05097,MONTGOMERY,98378
05099,NEVADA,175360
05101,NEWTON,165
05103,OUACHITA,112
05109,PIKE,495743
05111,POINSETT,80
05113,POLK,267218
05119,PULASKI,236
05121,RANDOLPH,95277
05125,SALINE,58
05127,SCOTT,466230
05129,SEARCY,46
05131,SEBASTIAN,331190
05135,SHARP,182278
05137,STONE,237
05139,UNION,301160
05141,VAN BUREN,348
05143,WASHINGTON,447377
05149,YELL,169058
