FIPS,COUNTY_NAME,VALUE
05001,ARKANSAS,129
05007,BENTON,271
05009,BOONE,104
05011,BRADLEY,30
05013,CALHOUN,36
05015,CARROLL,413
05017,CHICOT,15
05019,CLARK,93
05021,CLAY,21
05023,CLEBURNE,6
05029,CONWAY,34
05033,CRAWFORD,122
05035,CRITTENDEN,51
05043,DREW,120
05045,FAULKNER,254
05049,FULTON,157
05051,GARLAND,34
05053,GRANT,55
05059,HOT SPRING,92
05061,HOWARD,90
05063,INDEPENDENCE,24
05065,IZARD,7
05067,JACKSON,176
05069,JEFFERSON,18
05085,LONOKE,288
05087,MADISON,575
05089,MARION,38
05101,NEWTON,31
05103,OUACHITA,270
05113,POLK,128
05115,POPE,398
05119,PULASKI,141
05125,SALINE,57
05127,SCOTT,56
05129,SEARCY,50
05131,SEBASTIAN,40
05135,SHARP,54
05137,STONE,146
05139,UNION,36
05141,VAN BUREN,36
05143,WASHINGTON,382
05145,WHITE,158
