FIPS,COUNTY_NAME,VALUE
05001,ARKANSAS,159
05003,ASHLEY,452
05005,BAXTER,519
05007,BENTON,2111
05009,BOONE,1193
05011,BRADLEY,126
05013,CALHOUN,195
05015,CARROLL,1021
05017,CHICOT,114
05019,CLARK,522
05021,CLAY,488
05023,CLEBURNE,916
05025,CLEVELAND,144
05027,COLUMBIA,504
05029,CONWAY,1032
05031,CRAIGHEAD,534
05033,CRAWFORD,842
05035,CRITTENDEN,73
05037,CROSS,66
05039,DALLAS,137
05041,DESHA,49
05043,DREW,357
05045,FAULKNER,1764
05047,FRANKLIN,722
05049,FULTON,808
05051,GARLAND,735
05053,GRANT,668
05055,GREENE,739
05057,HEMPSTEAD,558
05059,HOT SPRING,759
05061,HOWARD,648
05063,INDEPENDENCE,925
05065,IZARD,620
05067,JACKSON,319
05069,JEFFERSON,465
05071,JOHNSON,723
05073,LAFAYETTE,505
05075,LAWRENCE,361
05077,LEE,92
05079,LINCOLN,497
05081,LITTLE RIVER,685
05083,LOGAN,587
05085,LONOKE,611
05087,MADISON,1137
05089,MARION,584
05091,MILLER,597
05093,MISSISSIPPI,52
05095,MONROE,23
05097,MONTGOMERY,424
05099,NEVADA,164
05101,NEWTON,427
05103,OUACHITA,248
05105,PERRY,471
05107,PHILLIPS,43
05109,PIKE,393
05111,POINSETT,245
05113,POLK,940
05115,POPE,961
05117,PRAIRIE,107
05119,PULASKI,882
05121,RANDOLPH,648
05123,SAINT FRANCIS,318
05125,SALINE,844
05127,SCOTT,430
05129,SEARCY,439
05131,SEBASTIAN,1044
05133,SEVIER,530
05135,SHARP,621
05137,STONE,509
05139,UNION,442
05141,VAN BUREN,870
05143,WASHINGTON,2683
05145,WHITE,2290
05147,WOODRUFF,75
05149,YELL,532
