FIPS,COUNTY_NAME,VALUE
05005,BAXTER,121
05007,BENTON,330
05009,BOONE,133
05015,CARROLL,147
05017,CHICOT,18
05021,CLAY,4
05023,CLEBURNE,18
05027,COLUMBIA,14
05029,CONWAY,34
05033,CRAWFORD,80
05035,CRITTENDEN,54
05045,FAULKNER,261
05049,FULTON,377
05051,GARLAND,33
05053,GRANT,82
05059,HOT SPRING,61
05061,HOWARD,36
05063,INDEPENDENCE,8
05065,IZARD,54
05071,JOHNSON,10
05083,LOGAN,3
05085,LONOKE,5
05087,MADISON,317
05089,MARION,147
05097,MONTGOMERY,46
05101,NEWTON,54
05103,OUACHITA,64
05105,PERRY,178
05111,POINSETT,34
05113,POLK,75
05115,POPE,253
05121,RANDOLPH,10
05125,SALINE,40
05129,SEARCY,29
05137,STONE,134
05139,UNION,42
05141,VAN BUREN,150
05143,WASHINGTON,373
05145,WHITE,157
