FIPS,COUNTY_NAME,VALUE
05003,ASHLEY,29
05005,BAXTER,414
05007,BENTON,1190
05009,BOONE,991
05011,BRADLEY,128
05015,CARROLL,496
05019,CLARK,140
05021,CLAY,413
05023,CLEBURNE,252
05027,COLUMBIA,14
05029,CONWAY,299
05031,CRAIGHEAD,209
05033,CRAWFORD,368
05035,CRITTENDEN,120
05039,DALLAS,66
05043,DREW,247
05045,FAULKNER,690
05047,FRANKLIN,409
05049,FULTON,1417
05051,GARLAND,506
05053,GRANT,42
05055,GREENE,127
05057,HEMPSTEAD,249
05059,HOT SPRING,97
05061,HOWARD,404
05063,INDEPENDENCE,319
05065,IZARD,339
05071,JOHNSON,48
05075,LAWRENCE,123
05079,LINCOLN,194
05081,LITTLE RIVER,198
05083,LOGAN,752
05085,LONOKE,153
05087,MADISON,803
05089,MARION,717
05097,MONTGOMERY,223
05099,NEVADA,85
05101,NEWTON,234
05103,OUACHITA,226
05105,PERRY,316
05111,POINSETT,91
05113,POLK,352
05115,POPE,701
05119,PULASKI,478
05121,RANDOLPH,858
05123,SAINT FRANCIS,36
05125,SALINE,174
05127,SCOTT,190
05129,SEARCY,202
05131,SEBASTIAN,431
05133,SEVIER,566
05135,SHARP,176
05137,STONE,188
05139,UNION,101
05141,VAN BUREN,32
05143,WASHINGTON,1953
05145,WHITE,829
05149,YELL,663
