FIPS,COUNTY_NAME,VALUE
06001,ALAMEDA,11526
06009,CALAVERAS,10801
06011,COLUSA,11273
06015,DEL NORTE,793
06017,EL DORADO,3139
06019,FRESNO,16301
06021,GLENN,15531
06023,HUMBOLDT,17412
06029,KERN,41537
06031,KINGS,4236
06033,LAKE,2051
06035,LASSEN,22521
06039,MADERA,12701
06041,MARIN,8313
06045,MENDOCINO,16556
06047,MERCED,33199
06053,MONTEREY,21257
06057,NEVADA,2183
06061,PLACER,8058
06065,RIVERSIDE,1504
06067,SACRAMENTO,13934
06071,SAN BERNARDINO,3679
06073,SAN DIEGO,3951
06077,SAN JOAQUIN,17183
06079,SAN LUIS OBISPO,22626
06081,SAN MATEO,1043
06085,SANTA CLARA,10985
06087,SANTA CRUZ,390
06089,SHASTA,16342
06091,SIERRA,3172
06093,SISKIYOU,26188
06095,SOLANO,15891
06097,SONOMA,10974
06099,STANISLAUS,26213
06101,SUTTER,3500
06103,TEHAMA,27018
06105,TRINITY,1707
06107,TULARE,72778
06111,VENTURA,3544
