FIPS,COUNTY_NAME,VALUE
06001,ALAMEDA,41
06009,CALAVERAS,173
06011,COLUSA,80
06015,DEL NORTE,6452
06017,EL DORADO,36
06019,FRESNO,102796
06021,GLENN,15533
06023,HUMBOLDT,23894
06029,KERN,116605
06031,KINGS,173404
06033,LAKE,5
06035,LASSEN,22
06039,MADERA,66038
06041,MARIN,10895
06045,MENDOCINO,1182
06047,MERCED,272534
06053,MONTEREY,1445
06057,NEVADA,21
06061,PLACER,946
06065,RIVERSIDE,38033
06067,SACRAMENTO,16027
06071,SAN BERNARDINO,52554
06073,SAN DIEGO,4330
06077,SAN JOAQUIN,106375
06079,SAN LUIS OBISPO,256
06085,SANTA CLARA,15
06089,SHASTA,64
06093,SISKIYOU,1193
06095,SOLANO,22
06097,SONOMA,33059
06099,STANISLAUS,183496
06101,SUTTER,5
06103,TEHAMA,3249
06105,TRINITY,10
06107,TULARE,500402
06111,VENTURA,8
