FIPS,COUNTY_NAME,VALUE
06005,AMADOR,68
06007,BUTTE,640
06009,CALAVERAS,252
06011,COLUSA,30
06013,CONTRA COSTA,605
06015,DEL NORTE,156
06017,EL DORADO,640
06021,GLENN,277
06023,HUMBOLDT,582
06031,KINGS,356
06033,LAKE,272
06035,LASSEN,205
06037,LOS ANGELES,68
06039,MADERA,102
06041,MARIN,2250
06043,MARIPOSA,213
06045,MENDOCINO,502
06047,MERCED,1132909
06049,MODOC,36
06053,MONTEREY,266
06055,NAPA,71
06057,NEVADA,731
06061,PLACER,778
06063,PLUMAS,322
06065,RIVERSIDE,394089
06067,SACRAMENTO,440
06069,SAN BENITO,28
06071,SAN BERNARDINO,84167
06077,SAN JOAQUIN,370855
06079,SAN LUIS OBISPO,2648
06085,SANTA CLARA,102
06089,SHASTA,472
06093,SISKIYOU,78
06095,SOLANO,8632
06099,STANISLAUS,697485
06101,SUTTER,70
06103,TEHAMA,185
06105,TRINITY,186
06107,TULARE,449
06109,TUOLUMNE,150
06111,VENTURA,164
06113,YOLO,1305
06115,YUBA,421
