FIPS,COUNTY_NAME,VALUE
06005,AMADOR,46
06007,BUTTE,59
06009,CALAVERAS,30
06011,COLUSA,120
06013,CONTRA COSTA,48
06017,EL DORADO,139
06019,FRESNO,16
06023,HUMBOLDT,33
06029,KERN,28
06037,LOS ANGELES,89
06045,MENDOCINO,75
06047,MERCED,84
06057,NEVADA,13
06061,PLACER,34
06065,RIVERSIDE,183
06067,SACRAMENTO,116
06071,SAN BERNARDINO,210
06073,SAN DIEGO,234
06077,SAN JOAQUIN,127
06079,SAN LUIS OBISPO,106
06081,SAN MATEO,8
06085,SANTA CLARA,8
06089,SHASTA,75
06093,SISKIYOU,35
06095,SOLANO,24
06097,SONOMA,272
06099,STANISLAUS,317
06103,TEHAMA,41
06107,TULARE,48
06109,TUOLUMNE,15
06111,VENTURA,42
06113,YOLO,59
06115,YUBA,12
