FIPS,COUNTY_NAME,VALUE
06001,ALAMEDA,759
06005,AMADOR,309
06007,BUTTE,792
06009,CALAVERAS,3244
06015,DEL NORTE,120
06017,EL DORADO,932
06019,FRESNO,4306
06023,HUMBOLDT,414
06029,KERN,1394
06031,KINGS,8391
06033,LAKE,320
06035,LASSEN,293
06037,LOS ANGELES,758
06039,MADERA,977
06041,MARIN,90
06043,MARIPOSA,194
06045,MENDOCINO,376
06047,MERCED,6149
06049,MODOC,732
06053,MONTEREY,513
06055,NAPA,1045
06057,NEVADA,1496
06061,PLACER,1335
06065,RIVERSIDE,2382
06067,SACRAMENTO,5811
06069,SAN BENITO,422
06071,SAN BERNARDINO,712
06073,SAN DIEGO,2027
06077,SAN JOAQUIN,3327
06079,SAN LUIS OBISPO,1349
06081,SAN MATEO,84
06083,SANTA BARBARA,405
06085,SANTA CLARA,589
06087,SANTA CRUZ,88
06089,SHASTA,2428
06093,SISKIYOU,226
06095,SOLANO,2223
06097,SONOMA,4417
06099,STANISLAUS,2706
06101,SUTTER,942
06103,TEHAMA,6320
06107,TULARE,1016
06109,TUOLUMNE,1055
06113,YOLO,777
06115,YUBA,1118
