FIPS,COUNTY_NAME,VALUE
06001,ALAMEDA,127712
06005,AMADOR,105
06007,BUTTE,71961
06009,CALAVERAS,629
06011,COLUSA,17855
06013,CONTRA COSTA,3859
06015,DEL NORTE,16
06017,EL DORADO,826
06019,FRESNO,61634
06021,GLENN,50908
06023,HUMBOLDT,396
06025,IMPERIAL,46786
06029,KERN,166984
06031,KINGS,6301
06033,LAKE,178
06035,LASSEN,48
06037,LOS ANGELES,4384
06039,MADERA,59899
06041,MARIN,483
06045,MENDOCINO,1075
06047,MERCED,73045
06049,MODOC,28
06053,MONTEREY,1387
06055,NAPA,231
06057,NEVADA,2163
06063,PLUMAS,24
06065,RIVERSIDE,28550
06067,SACRAMENTO,27226
06069,SAN BENITO,18
06071,SAN BERNARDINO,57866
06073,SAN DIEGO,31212
06077,SAN JOAQUIN,4024
06079,SAN LUIS OBISPO,3949
06081,SAN MATEO,550
06083,SANTA BARBARA,3402
06085,SANTA CLARA,1612
06087,SANTA CRUZ,102
06089,SHASTA,32297
06093,SISKIYOU,296
06095,SOLANO,11037
06097,SONOMA,631
06099,STANISLAUS,23003
06101,SUTTER,23691
06103,TEHAMA,28471
06105,TRINITY,137
06107,TULARE,88321
06109,TUOLUMNE,1628
06111,VENTURA,16064
06113,YOLO,39752
06115,YUBA,2806
