FIPS,COUNTY_NAME,VALUE
08001,ADAMS,7933
08003,ALAMOSA,7205
08005,ARAPAHOE,4358
08007,ARCHULETA,4535
08009,BACA,26098
08011,BENT,16277
08013,BOULDER,3995
08014,BROOMFIELD,89
08015,CHAFFEE,5081
08017,CHEYENNE,18659
08021,CONEJOS,22771
08023,COSTILLA,4266
08025,CROWLEY,15604
08027,CUSTER,5714
08029,DELTA,26119
08033,DOLORES,3212
08035,DOUGLAS,5026
08037,EAGLE,5975
08039,ELBERT,24826
08041,EL PASO,15767
08043,FREMONT,9928
08045,GARFIELD,19001
08049,GRAND,10707
08051,GUNNISON,13848
08053,HINSDALE,391
08055,HUERFANO,11919
08057,JACKSON,14207
08059,JEFFERSON,1465
08061,KIOWA,10381
08063,KIT CARSON,22152
08065,LAKE,198
08067,LA PLATA,12713
08069,LARIMER,26247
08071,LAS ANIMAS,28178
08073,LINCOLN,26745
08075,LOGAN,26653
08077,MESA,30343
08081,MOFFAT,23730
08083,MONTEZUMA,14494
08085,MONTROSE,24316
08087,MORGAN,54747
08089,OTERO,15585
08091,OURAY,3382
08093,PARK,4043
08095,PHILLIPS,7340
08097,PITKIN,874
08099,PROWERS,13350
08101,PUEBLO,19724
08103,RIO BLANCO,16797
08105,RIO GRANDE,7039
08107,ROUTT,15854
08109,SAGUACHE,14384
08113,SAN MIGUEL,5723
08115,SEDGWICK,6041
08117,SUMMIT,1026
08119,TELLER,1654
08121,WASHINGTON,27687
08123,WELD,165234
08125,YUMA,43841
