FIPS,COUNTY_NAME,VALUE
08001,ADAMS,14986
08003,ALAMOSA,11898
08005,ARAPAHOE,8343
08007,ARCHULETA,8487
08009,BACA,55493
08011,BENT,27518
08013,BOULDER,5986
08014,BROOMFIELD,268
08015,CHAFFEE,7352
08017,CHEYENNE,34782
08019,CLEAR CREEK,100
08021,CONEJOS,35855
08023,COSTILLA,6297
08025,CROWLEY,72158
08027,CUSTER,8387
08029,DELTA,40550
08033,DOLORES,5052
08035,DOUGLAS,8005
08037,EAGLE,9513
08039,ELBERT,40779
08041,EL PASO,28082
08043,FREMONT,15249
08045,GARFIELD,34267
08049,GRAND,17031
08051,GUNNISON,23819
08053,HINSDALE,587
08055,HUERFANO,17144
08057,JACKSON,22758
08059,JEFFERSON,2049
08061,KIOWA,17980
08063,KIT CARSON,173384
08065,LAKE,326
08067,LA PLATA,21301
08069,LARIMER,57507
08071,LAS ANIMAS,41650
08073,LINCOLN,42545
08075,LOGAN,225744
08077,MESA,46952
08079,MINERAL,105
08081,MOFFAT,34663
08083,MONTEZUMA,26889
08085,MONTROSE,53051
08087,MORGAN,223038
08089,OTERO,75253
08091,OURAY,4395
08093,PARK,7574
08095,PHILLIPS,27298
08097,PITKIN,2535
08099,PROWERS,96398
08101,PUEBLO,37418
08103,RIO BLANCO,25253
08105,RIO GRANDE,10598
08107,ROUTT,24882
08109,SAGUACHE,21264
08113,SAN MIGUEL,9583
08115,SEDGWICK,16849
08117,SUMMIT,1399
08119,TELLER,2425
08121,WASHINGTON,73532
08123,WELD,582267
08125,YUMA,265393
