FIPS,COUNTY_NAME,VALUE
08001,ADAMS,974
08005,ARAPAHOE,470
08007,ARCHULETA,77
08011,BENT,132
08013,BOULDER,137
08021,CONEJOS,159
08025,CROWLEY,630
08027,CUSTER,125
08029,DELTA,2116
08035,DOUGLAS,794
08039,ELBERT,1468
08041,EL PASO,959
08043,FREMONT,1039
08045,GARFIELD,596
08049,GRAND,30
08051,GUNNISON,159
08055,HUERFANO,44
08059,JEFFERSON,185
08063,KIT CARSON,14
08067,LA PLATA,1001
08069,LARIMER,941
08071,LAS ANIMAS,3102
08077,MESA,634
08081,MOFFAT,13
08083,MONTEZUMA,410
08085,MONTROSE,52
08093,PARK,48
08097,PITKIN,256
08101,PUEBLO,320
08107,ROUTT,414
08115,SEDGWICK,137
08121,WASHINGTON,182
08125,YUMA,79
