FIPS,COUNTY_NAME,VALUE
08001,ADAMS,75
08003,ALAMOSA,26
08005,ARAPAHOE,235
08007,ARCHULETA,79
08009,BACA,14
08011,BENT,149
08013,BOULDER,138
08015,CHAFFEE,78
08021,CONEJOS,66
08023,COSTILLA,45
08025,CROWLEY,63
08027,CUSTER,184
08029,DELTA,241
08033,DOLORES,19
08035,DOUGLAS,258
08037,EAGLE,21
08039,ELBERT,187
08041,EL PASO,390
08043,FREMONT,153
08045,GARFIELD,254
08047,GILPIN,14
08049,GRAND,113
08051,GUNNISON,81
08053,HINSDALE,16
08055,HUERFANO,30
08057,JACKSON,36
08059,JEFFERSON,41
08061,KIOWA,8
08063,KIT CARSON,11
08065,LAKE,8
08067,LA PLATA,235
08069,LARIMER,365
08071,LAS ANIMAS,71
08073,LINCOLN,14
08075,LOGAN,21
08077,MESA,354
08079,MINERAL,16
08081,MOFFAT,82
08083,MONTEZUMA,147
08085,MONTROSE,178
08087,MORGAN,39
08089,OTERO,22
08091,OURAY,12
08093,PARK,46
08097,PITKIN,15
08099,PROWERS,4
08101,PUEBLO,117
08103,RIO BLANCO,309
08105,RIO GRANDE,69
08107,ROUTT,81
08109,SAGUACHE,136
08113,SAN MIGUEL,21
08115,SEDGWICK,22
08117,SUMMIT,12
08119,TELLER,48
08121,WASHINGTON,43
08123,WELD,368
08125,YUMA,46
