FIPS,COUNTY_NAME,VALUE
08001,ADAMS,266
08003,ALAMOSA,1167
08005,ARAPAHOE,656
08007,ARCHULETA,172
08009,BACA,452
08011,BENT,221
08013,BOULDER,439
08019,CLEAR CREEK,34
08021,CONEJOS,169
08023,COSTILLA,368
08025,CROWLEY,468
08027,CUSTER,12
08029,DELTA,1921
08035,DOUGLAS,811
08037,EAGLE,57
08039,ELBERT,983
08041,EL PASO,1265
08043,FREMONT,237
08045,GARFIELD,468
08049,GRAND,157
08051,GUNNISON,285
08055,HUERFANO,455
08057,JACKSON,51
08059,JEFFERSON,100
08061,KIOWA,88
08063,KIT CARSON,90
08067,LA PLATA,501
08069,LARIMER,2238
08071,LAS ANIMAS,708
08073,LINCOLN,194
08075,LOGAN,111
08077,MESA,4248
08081,MOFFAT,761
08083,MONTEZUMA,522
08085,MONTROSE,567
08087,MORGAN,552
08089,OTERO,1567
08091,OURAY,52
08093,PARK,45
08095,PHILLIPS,116
08101,PUEBLO,1547
08105,RIO GRANDE,360
08107,ROUTT,151
08109,SAGUACHE,421
08113,SAN MIGUEL,25
08117,SUMMIT,12
08121,WASHINGTON,816
08123,WELD,4625
08125,YUMA,844
