FIPS,COUNTY_NAME,VALUE
08001,ADAMS,226
08003,ALAMOSA,15
08005,ARAPAHOE,90
08007,ARCHULETA,66
08013,BOULDER,503
08025,CROWLEY,35
08027,CUSTER,38
08029,DELTA,335
08035,DOUGLAS,298
08037,EAGLE,23
08039,ELBERT,122
08041,EL PASO,341
08043,FREMONT,470
08045,GARFIELD,465
08049,GRAND,9
08051,GUNNISON,13
08059,JEFFERSON,116
08067,LA PLATA,156
08069,LARIMER,744
08071,LAS ANIMAS,18
08075,LOGAN,53
08077,MESA,337
08081,MOFFAT,28
08083,MONTEZUMA,51
08085,MONTROSE,610
08087,MORGAN,34
08093,PARK,6
08095,PHILLIPS,1205
08103,RIO BLANCO,59
08107,ROUTT,117
08109,SAGUACHE,43
08119,TELLER,8
08121,WASHINGTON,13
08123,WELD,1234
08125,YUMA,19
