FIPS,COUNTY_NAME,VALUE
08001,ADAMS,593
08003,ALAMOSA,4465
08005,ARAPAHOE,457
08007,ARCHULETA,228
08011,BENT,211
08013,BOULDER,955
08015,CHAFFEE,34
08021,CONEJOS,10867
08023,COSTILLA,544
08025,CROWLEY,830
08027,CUSTER,243
08029,DELTA,15613
08033,DOLORES,109
08035,DOUGLAS,673
08037,EAGLE,9432
08039,ELBERT,1582
08041,EL PASO,973
08043,FREMONT,139
08045,GARFIELD,10529
08049,GRAND,111
08051,GUNNISON,10931
08055,HUERFANO,29
08059,JEFFERSON,469
08061,KIOWA,126
08063,KIT CARSON,547
08067,LA PLATA,7483
08069,LARIMER,1877
08071,LAS ANIMAS,96
08073,LINCOLN,147
08075,LOGAN,825
08077,MESA,18634
08081,MOFFAT,54647
08083,MONTEZUMA,2468
08085,MONTROSE,13086
08087,MORGAN,4775
08089,OTERO,2362
08093,PARK,72
08097,PITKIN,121
08099,PROWERS,116
08101,PUEBLO,1738
08103,RIO BLANCO,7859
08105,RIO GRANDE,12518
08107,ROUTT,14163
08109,SAGUACHE,3597
08113,SAN MIGUEL,892
08119,TELLER,42
08123,WELD,180468
08125,YUMA,97
