FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,94
12007,BRADFORD,13
12009,BREVARD,46
12011,BROWARD,15
12017,CITRUS,149
12019,CLAY,25
12021,COLLIER,6
12049,HARDEE,30
12053,HERNANDO,33
12055,HIGHLANDS,88
12057,HILLSBOROUGH,146
12069,LAKE,28
12075,LEVY,10
12079,MADISON,35
12081,MANATEE,16
12083,MARION,124
12093,OKEECHOBEE,24
12097,OSCEOLA,30
12099,PALM BEACH,18
12101,PASCO,111
12107,PUTNAM,162
12109,ST. JOHNS,8
12115,SARASOTA,62
12117,SEMINOLE,32
12119,SUMTER,117
12121,SUWANNEE,39
12127,VOLUSIA,94
12131,WALTON,50
