FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,17421
12003,BAKER,1708
12005,BAY,332
12007,BRADFORD,3546
12009,BREVARD,5988
12013,CALHOUN,1567
12015,CHARLOTTE,5827
12017,CITRUS,2198
12019,CLAY,1218
12021,COLLIER,3697
12023,COLUMBIA,11764
12027,DE SOTO,38046
12029,DIXIE,1162
12031,DUVAL,2288
12033,ESCAMBIA,2424
12035,FLAGLER,2246
12039,GADSDEN,2125
12041,GILCHRIST,10450
12043,GLADES,28415
12045,GULF,287
12047,HAMILTON,6606
12049,HARDEE,23434
12051,HENDRY,21061
12053,HERNANDO,2803
12055,HIGHLANDS,34507
12057,HILLSBOROUGH,14622
12059,HOLMES,9734
12061,INDIAN RIVER,7294
12063,JACKSON,16407
12065,JEFFERSON,11661
12067,LAFAYETTE,4904
12069,LAKE,10031
12071,LEE,3151
12073,LEON,889
12075,LEVY,28783
12077,LIBERTY,547
12079,MADISON,12074
12081,MANATEE,12818
12083,MARION,20447
12085,MARTIN,13597
12086,MIAMI-DADE,3843
12089,NASSAU,2307
12091,OKALOOSA,1247
12093,OKEECHOBEE,51153
12095,ORANGE,2120
12097,OSCEOLA,39010
12099,PALM BEACH,2645
12101,PASCO,13050
12105,POLK,30102
12107,PUTNAM,4434
12109,ST. JOHNS,1295
12111,ST. LUCIE,14503
12113,SANTA ROSA,5205
12115,SARASOTA,6525
12117,SEMINOLE,1645
12119,SUMTER,10174
12121,SUWANNEE,16619
12123,TAYLOR,2914
12125,UNION,4972
12127,VOLUSIA,4839
12129,WAKULLA,427
12131,WALTON,8701
12133,WASHINGTON,2063
