FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,45144
12003,BAKER,5482
12005,BAY,1200
12007,BRADFORD,9576
12009,BREVARD,22135
12011,BROWARD,1107
12013,CALHOUN,4744
12015,CHARLOTTE,14899
12017,CITRUS,8294
12019,CLAY,3784
12021,COLLIER,10038
12023,COLUMBIA,26010
12027,DE SOTO,94893
12029,DIXIE,3972
12031,DUVAL,5824
12033,ESCAMBIA,4840
12035,FLAGLER,5645
12039,GADSDEN,6184
12041,GILCHRIST,27994
12043,GLADES,65136
12045,GULF,1320
12047,HAMILTON,13078
12049,HARDEE,80881
12051,HENDRY,57367
12053,HERNANDO,9457
12055,HIGHLANDS,85875
12057,HILLSBOROUGH,38898
12059,HOLMES,20805
12061,INDIAN RIVER,20334
12063,JACKSON,37611
12065,JEFFERSON,25546
12067,LAFAYETTE,21018
12069,LAKE,27919
12071,LEE,10839
12073,LEON,2523
12075,LEVY,55249
12077,LIBERTY,1316
12079,MADISON,29779
12081,MANATEE,39430
12083,MARION,52404
12085,MARTIN,29543
12086,MIAMI-DADE,6876
12089,NASSAU,6324
12091,OKALOOSA,3354
12093,OKEECHOBEE,133975
12095,ORANGE,14731
12097,OSCEOLA,105405
12099,PALM BEACH,7114
12101,PASCO,35182
12105,POLK,83642
12107,PUTNAM,11230
12109,ST. JOHNS,3039
12111,ST. LUCIE,38247
12113,SANTA ROSA,9728
12115,SARASOTA,17355
12117,SEMINOLE,4038
12119,SUMTER,32707
12121,SUWANNEE,40053
12123,TAYLOR,6646
12125,UNION,12832
12127,VOLUSIA,14307
12129,WAKULLA,1484
12131,WALTON,13345
12133,WASHINGTON,5813
