FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,1842
12003,BAKER,62
12009,BREVARD,1310
12011,BROWARD,683
12013,CALHOUN,190
12017,CITRUS,216
12019,CLAY,60
12021,COLLIER,186
12023,COLUMBIA,5390
12027,DE SOTO,242
12029,DIXIE,220
12031,DUVAL,300
12033,ESCAMBIA,1726
12039,GADSDEN,82
12041,GILCHRIST,266
12047,HAMILTON,560084
12049,HARDEE,412
12051,HENDRY,36
12055,HIGHLANDS,224
12057,HILLSBOROUGH,1916
12059,HOLMES,385493
12061,INDIAN RIVER,273
12063,JACKSON,1253
12065,JEFFERSON,102
12067,LAFAYETTE,1588320
12069,LAKE,1801
12071,LEE,1190
12073,LEON,308
12075,LEVY,84
12079,MADISON,1336399
12081,MANATEE,202
12083,MARION,1399
12085,MARTIN,4053
12086,MIAMI-DADE,27135
12091,OKALOOSA,60406
12095,ORANGE,4895
12097,OSCEOLA,180
12099,PALM BEACH,1766
12101,PASCO,3568
12105,POLK,1796
12107,PUTNAM,1189
12109,ST. JOHNS,864
12113,SANTA ROSA,251
12117,SEMINOLE,21
12119,SUMTER,623
12121,SUWANNEE,8079816
12125,UNION,1002
12127,VOLUSIA,958
12129,WAKULLA,1500
12131,WALTON,679437
12133,WASHINGTON,242
