FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,202
12003,BAKER,50
12005,BAY,43
12007,BRADFORD,66
12009,BREVARD,408
12011,BROWARD,204
12013,CALHOUN,11
12015,CHARLOTTE,18
12017,CITRUS,142
12019,CLAY,117
12023,COLUMBIA,171
12027,DE SOTO,153
12033,ESCAMBIA,133
12035,FLAGLER,10
12041,GILCHRIST,119
12047,HAMILTON,28
12049,HARDEE,16
12051,HENDRY,26
12053,HERNANDO,26
12057,HILLSBOROUGH,228
12059,HOLMES,57
12061,INDIAN RIVER,15
12063,JACKSON,98
12065,JEFFERSON,54
12067,LAFAYETTE,12242
12069,LAKE,180
12071,LEE,798
12073,LEON,21
12075,LEVY,137
12079,MADISON,5523
12081,MANATEE,29
12083,MARION,267
12085,MARTIN,92
12086,MIAMI-DADE,520
12091,OKALOOSA,96
12093,OKEECHOBEE,22
12095,ORANGE,9
12097,OSCEOLA,50
12099,PALM BEACH,255
12101,PASCO,290
12105,POLK,97
12107,PUTNAM,52
12109,ST. JOHNS,147
12111,ST. LUCIE,30
12113,SANTA ROSA,100
12115,SARASOTA,9
12117,SEMINOLE,56
12119,SUMTER,110
12121,SUWANNEE,8136
12123,TAYLOR,66
12125,UNION,20
12127,VOLUSIA,633
12129,WAKULLA,41
12133,WASHINGTON,41
