FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,2452
12003,BAKER,377
12005,BAY,318
12007,BRADFORD,529
12009,BREVARD,852
12011,BROWARD,2158
12013,CALHOUN,185
12015,CHARLOTTE,221
12017,CITRUS,1082
12019,CLAY,621
12021,COLLIER,253
12023,COLUMBIA,1165
12027,DE SOTO,713
12029,DIXIE,196
12031,DUVAL,540
12033,ESCAMBIA,956
12035,FLAGLER,202
12037,FRANKLIN,18
12039,GADSDEN,463
12041,GILCHRIST,850
12043,GLADES,463
12045,GULF,102
12047,HAMILTON,184
12049,HARDEE,692
12051,HENDRY,482
12053,HERNANDO,1408
12055,HIGHLANDS,715
12057,HILLSBOROUGH,3361
12059,HOLMES,1102
12061,INDIAN RIVER,574
12063,JACKSON,861
12065,JEFFERSON,1046
12067,LAFAYETTE,152
12069,LAKE,2157
12071,LEE,955
12073,LEON,717
12075,LEVY,5000
12077,LIBERTY,91
12079,MADISON,541
12081,MANATEE,1371
12083,MARION,23301
12085,MARTIN,1148
12086,MIAMI-DADE,2316
12089,NASSAU,415
12091,OKALOOSA,851
12093,OKEECHOBEE,1379
12095,ORANGE,728
12097,OSCEOLA,798
12099,PALM BEACH,6136
12101,PASCO,2354
12103,PINELLAS,376
12105,POLK,1489
12107,PUTNAM,428
12109,ST. JOHNS,725
12111,ST. LUCIE,394
12113,SANTA ROSA,1242
12115,SARASOTA,763
12117,SEMINOLE,514
12119,SUMTER,1646
12121,SUWANNEE,1663
12123,TAYLOR,247
12125,UNION,298
12127,VOLUSIA,3285
12129,WAKULLA,218
12131,WALTON,950
12133,WASHINGTON,849
