FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,444
12003,BAKER,43
12005,BAY,90
12007,BRADFORD,104
12009,BREVARD,79
12011,BROWARD,108
12013,CALHOUN,120
12015,CHARLOTTE,35
12017,CITRUS,149
12019,CLAY,111
12021,COLLIER,86
12023,COLUMBIA,369
12027,DE SOTO,104
12029,DIXIE,47
12031,DUVAL,47
12033,ESCAMBIA,164
12039,GADSDEN,170
12041,GILCHRIST,184
12043,GLADES,21
12045,GULF,126
12047,HAMILTON,206
12049,HARDEE,100
12051,HENDRY,33
12053,HERNANDO,267
12055,HIGHLANDS,154
12057,HILLSBOROUGH,481
12059,HOLMES,184
12061,INDIAN RIVER,50
12063,JACKSON,183
12065,JEFFERSON,172
12067,LAFAYETTE,52
12069,LAKE,324
12071,LEE,134
12073,LEON,80
12075,LEVY,343
12077,LIBERTY,29
12079,MADISON,76
12081,MANATEE,96
12083,MARION,1142
12085,MARTIN,39
12086,MIAMI-DADE,97
12089,NASSAU,99
12091,OKALOOSA,187
12093,OKEECHOBEE,150
12095,ORANGE,39
12097,OSCEOLA,69
12099,PALM BEACH,117
12101,PASCO,255
12105,POLK,258
12107,PUTNAM,158
12109,ST. JOHNS,86
12111,ST. LUCIE,129
12113,SANTA ROSA,170
12115,SARASOTA,47
12117,SEMINOLE,74
12119,SUMTER,345
12121,SUWANNEE,432
12123,TAYLOR,85
12125,UNION,95
12127,VOLUSIA,309
12129,WAKULLA,49
12131,WALTON,364
12133,WASHINGTON,103
