FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,51
12003,BAKER,86
12007,BRADFORD,54
12009,BREVARD,12
12011,BROWARD,90
12017,CITRUS,38
12019,CLAY,12
12023,COLUMBIA,31
12031,DUVAL,20
12033,ESCAMBIA,22
12049,HARDEE,66
12053,HERNANDO,3618
12055,HIGHLANDS,82
12057,HILLSBOROUGH,153
12063,JACKSON,26
12065,JEFFERSON,68
12069,LAKE,199
12071,LEE,78
12075,LEVY,71
12079,MADISON,28
12081,MANATEE,39
12083,MARION,330
12085,MARTIN,80
12086,MIAMI-DADE,39
12091,OKALOOSA,147
12093,OKEECHOBEE,23
12095,ORANGE,40
12099,PALM BEACH,95
12101,PASCO,50
12105,POLK,32
12107,PUTNAM,35
12111,ST. LUCIE,37
12113,SANTA ROSA,9
12117,SEMINOLE,52
12119,SUMTER,64
12121,SUWANNEE,25
12127,VOLUSIA,217
12131,WALTON,54
12133,WASHINGTON,15
