FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,2304
12003,BAKER,620
12005,BAY,134
12007,BRADFORD,428
12009,BREVARD,545
12011,BROWARD,753
12013,CALHOUN,449
12015,CHARLOTTE,296
12017,CITRUS,748
12019,CLAY,969
12021,COLLIER,110
12023,COLUMBIA,1871
12027,DE SOTO,283
12029,DIXIE,376
12031,DUVAL,621
12033,ESCAMBIA,1004
12039,GADSDEN,584
12041,GILCHRIST,1542
12043,GLADES,156
12047,HAMILTON,475
12049,HARDEE,284
12053,HERNANDO,690
12055,HIGHLANDS,404
12057,HILLSBOROUGH,1379
12059,HOLMES,509
12061,INDIAN RIVER,352
12063,JACKSON,932
12065,JEFFERSON,659
12067,LAFAYETTE,309
12069,LAKE,604
12071,LEE,1105
12073,LEON,970
12075,LEVY,1651
12077,LIBERTY,92
12079,MADISON,698
12081,MANATEE,156
12083,MARION,3418
12085,MARTIN,369
12086,MIAMI-DADE,547
12089,NASSAU,309
12091,OKALOOSA,920
12093,OKEECHOBEE,185
12095,ORANGE,853
12097,OSCEOLA,294
12099,PALM BEACH,951
12101,PASCO,599
12103,PINELLAS,57
12105,POLK,1392
12107,PUTNAM,997
12109,ST. JOHNS,188
12111,ST. LUCIE,155
12113,SANTA ROSA,884
12115,SARASOTA,65
12117,SEMINOLE,422
12119,SUMTER,443
12121,SUWANNEE,1754
12123,TAYLOR,406
12125,UNION,213
12127,VOLUSIA,1516
12129,WAKULLA,79
12131,WALTON,444
12133,WASHINGTON,190
