FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,508
12003,BAKER,54
12005,BAY,219
12007,BRADFORD,39
12009,BREVARD,264
12011,BROWARD,331
12013,CALHOUN,148
12015,CHARLOTTE,269
12017,CITRUS,598
12019,CLAY,184
12021,COLLIER,323
12023,COLUMBIA,338
12029,DIXIE,75
12033,ESCAMBIA,76
12041,GILCHRIST,627
12047,HAMILTON,66
12049,HARDEE,29
12051,HENDRY,128
12053,HERNANDO,379
12055,HIGHLANDS,61
12057,HILLSBOROUGH,620
12063,JACKSON,43
12067,LAFAYETTE,6
12069,LAKE,1077
12071,LEE,918
12075,LEVY,148
12077,LIBERTY,12
12079,MADISON,263
12081,MANATEE,354
12083,MARION,843
12085,MARTIN,476
12086,MIAMI-DADE,327
12091,OKALOOSA,62
12095,ORANGE,215
12097,OSCEOLA,297
12099,PALM BEACH,327
12105,POLK,419
12107,PUTNAM,481
12109,ST. JOHNS,61
12111,ST. LUCIE,331
12115,SARASOTA,226
12117,SEMINOLE,191
12119,SUMTER,814
12121,SUWANNEE,104
12123,TAYLOR,69
12125,UNION,65
12127,VOLUSIA,1327
12129,WAKULLA,36
12131,WALTON,213
12133,WASHINGTON,137
