FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,2844
12003,BAKER,677
12005,BAY,353
12007,BRADFORD,467
12009,BREVARD,833
12011,BROWARD,1136
12013,CALHOUN,597
12015,CHARLOTTE,565
12017,CITRUS,1373
12019,CLAY,1163
12021,COLLIER,451
12023,COLUMBIA,2291
12027,DE SOTO,396
12029,DIXIE,451
12031,DUVAL,722
12033,ESCAMBIA,1080
12035,FLAGLER,39
12039,GADSDEN,628
12041,GILCHRIST,2169
12043,GLADES,156
12047,HAMILTON,571
12049,HARDEE,359
12051,HENDRY,201
12053,HERNANDO,1166
12055,HIGHLANDS,516
12057,HILLSBOROUGH,2031
12059,HOLMES,703
12061,INDIAN RIVER,366
12063,JACKSON,983
12065,JEFFERSON,793
12067,LAFAYETTE,315
12069,LAKE,1681
12071,LEE,2096
12073,LEON,1171
12075,LEVY,1819
12077,LIBERTY,104
12079,MADISON,993
12081,MANATEE,510
12083,MARION,4379
12085,MARTIN,875
12086,MIAMI-DADE,950
12089,NASSAU,392
12091,OKALOOSA,1257
12093,OKEECHOBEE,259
12095,ORANGE,1081
12097,OSCEOLA,591
12099,PALM BEACH,1371
12101,PASCO,1070
12103,PINELLAS,57
12105,POLK,1856
12107,PUTNAM,1478
12109,ST. JOHNS,249
12111,ST. LUCIE,573
12113,SANTA ROSA,1030
12115,SARASOTA,291
12117,SEMINOLE,613
12119,SUMTER,1279
12121,SUWANNEE,1957
12123,TAYLOR,475
12125,UNION,278
12127,VOLUSIA,2905
12129,WAKULLA,115
12131,WALTON,662
12133,WASHINGTON,347
