FIPS,COUNTY_NAME,VALUE
12001,ALACHUA,788
12003,BAKER,162
12005,BAY,76
12007,BRADFORD,302
12009,BREVARD,158
12011,BROWARD,66
12013,CALHOUN,42
12017,CITRUS,279
12019,CLAY,238
12021,COLLIER,15
12023,COLUMBIA,245
12027,DE SOTO,130
12029,DIXIE,73
12031,DUVAL,94
12033,ESCAMBIA,126
12035,FLAGLER,8
12039,GADSDEN,157
12041,GILCHRIST,382
12043,GLADES,60
12049,HARDEE,49
12051,HENDRY,875
12053,HERNANDO,210
12055,HIGHLANDS,391
12059,HOLMES,142
12061,INDIAN RIVER,91
12063,JACKSON,238
12065,JEFFERSON,156
12067,LAFAYETTE,236
12069,LAKE,183
12071,LEE,307
12073,LEON,256
12075,LEVY,220
12079,MADISON,542
12081,MANATEE,255
12083,MARION,941
12085,MARTIN,145
12086,MIAMI-DADE,96
12089,NASSAU,144
12091,OKALOOSA,662
12093,OKEECHOBEE,221
12095,ORANGE,375
12097,OSCEOLA,86
12099,PALM BEACH,226
12101,PASCO,159
12105,POLK,533
12107,PUTNAM,238
12109,ST. JOHNS,20
12111,ST. LUCIE,52
12113,SANTA ROSA,100
12115,SARASOTA,23
12117,SEMINOLE,87
12119,SUMTER,258
12121,SUWANNEE,322
12123,TAYLOR,86
12125,UNION,230
12127,VOLUSIA,550
12129,WAKULLA,32
12131,WALTON,102
12133,WASHINGTON,182
