FIPS,COUNTY_NAME,VALUE
12009,BREVARD,202
12011,BROWARD,105
12015,CHARLOTTE,25
12017,CITRUS,30
12019,CLAY,28
12023,COLUMBIA,12
12031,DUVAL,54
12033,ESCAMBIA,36
12041,GILCHRIST,102
12043,GLADES,90
12047,HAMILTON,21
12053,HERNANDO,60
12055,HIGHLANDS,26
12057,HILLSBOROUGH,126
12063,JACKSON,226
12069,LAKE,269
12071,LEE,184
12075,LEVY,36
12081,MANATEE,8
12083,MARION,600
12086,MIAMI-DADE,9020
12091,OKALOOSA,12
12095,ORANGE,27
12097,OSCEOLA,72
12099,PALM BEACH,21
12101,PASCO,93
12105,POLK,138
12107,PUTNAM,4
12113,SANTA ROSA,16
12117,SEMINOLE,70
12119,SUMTER,110
12127,VOLUSIA,223
12131,WALTON,34
