FIPS,COUNTY_NAME,VALUE
13001,APPLING,2580
13011,BANKS,93
13013,BARROW,3
13015,BARTOW,4
13027,BROOKS,6507
13031,BULLOCH,86
13033,BURKE,10709
13039,CAMDEN,3
13045,CARROLL,233
13049,CHARLTON,3
13055,CHATTOOGA,44
13057,CHEROKEE,25
13069,COFFEE,28
13075,COOK,16
13077,COWETA,597
13085,DAWSON,42
13091,DODGE,6
13097,DOUGLAS,12
13103,EFFINGHAM,14
13111,FANNIN,12
13113,FAYETTE,22
13115,FLOYD,111
13119,FRANKLIN,21
13121,FULTON,28
13123,GILMER,90
13127,GLYNN,3
13129,GORDON,10
13131,GRADY,1807
13133,GREENE,1682
13137,HABERSHAM,61
13139,HALL,198
13143,HARALSON,41
13147,HART,521
13149,HEARD,115
13151,HENRY,97
13163,JEFFERSON,3255
13165,JENKINS,486
13167,JOHNSON,14
13171,LAMAR,22
13173,LANIER,12
13175,LAURENS,1076
13187,LUMPKIN,15
13193,MACON,14670
13211,MORGAN,4265
13237,PUTNAM,5129
13255,SPALDING,72
13265,TALIAFERRO,1344
13281,TOWNS,16
13283,TREUTLEN,17
13285,TROUP,615
13293,UPSON,439
13295,WALKER,265
13297,WALTON,6
13303,WASHINGTON,1222
13313,WHITFIELD,5
13317,WILKES,808
