FIPS,COUNTY_NAME,VALUE
13001,APPLING,16690
13007,BAKER,11686
13011,BANKS,73907
13015,BARTOW,13885
13019,BERRIEN,12922
13021,BIBB,13
13029,BRYAN,34
13033,BURKE,69
13035,BUTTS,14
13039,CAMDEN,36
13045,CARROLL,8768
13051,CHATHAM,21
13053,CHATTAHOOCHEE,5
13055,CHATTOOGA,12731
13059,CLARKE,14
13067,COBB,24
13071,COLQUITT,21239
13073,COLUMBIA,16
13077,COWETA,38
13079,CRAWFORD,19
13091,DODGE,28
13097,DOUGLAS,10
13103,EFFINGHAM,72
13105,ELBERT,39399
13107,EMANUEL,27
13111,FANNIN,9887
13113,FAYETTE,39
13115,FLOYD,178
13117,FORSYTH,10882
13119,FRANKLIN,150696
13123,GILMER,49854
13129,GORDON,7111
13135,GWINNETT,24
13137,HABERSHAM,39230
13139,HALL,33903
13145,HARRIS,92
13147,HART,73306
13149,HEARD,6160
13157,JACKSON,46341
13159,JASPER,26
13165,JENKINS,35
13167,JOHNSON,139
13173,LANIER,5
13179,LIBERTY,28
13185,LOWNDES,107
13187,LUMPKIN,21489
13189,MCDUFFIE,135
13193,MACON,10440
13195,MADISON,72094
13199,MERIWETHER,27
13207,MONROE,48
13217,NEWTON,42
13219,OCONEE,36
13221,OGLETHORPE,21410
13223,PAULDING,43
13227,PICKENS,7233
13229,PIERCE,41
13233,POLK,13
13235,PULASKI,6
13245,RICHMOND,98
13249,SCHLEY,4
13255,SPALDING,19
13257,STEPHENS,11760
13267,TATTNALL,34628
13277,TIFT,6
13285,TROUP,89
13293,UPSON,23
13295,WALKER,19190
13297,WALTON,15
13307,WEBSTER,4
13311,WHITE,29028
13313,WHITFIELD,24200
13315,WILCOX,14
13319,WILKINSON,12
13321,WORTH,10003
