FIPS,COUNTY_NAME,VALUE
13003,ATKINSON,2150
13009,BALDWIN,42
13011,BANKS,296
13013,BARROW,105
13015,BARTOW,755
13019,BERRIEN,188
13025,BRANTLEY,1372
13031,BULLOCH,208
13033,BURKE,252
13035,BUTTS,18
13039,CAMDEN,96
13043,CANDLER,17
13045,CARROLL,228
13047,CATOOSA,12
13051,CHATHAM,113
13055,CHATTOOGA,95
13057,CHEROKEE,62
13059,CLARKE,214
13063,CLAYTON,100
13065,CLINCH,34296
13067,COBB,301
13069,COFFEE,3846
13071,COLQUITT,9103
13073,COLUMBIA,13
13075,COOK,116
13077,COWETA,124
13083,DADE,96
13085,DAWSON,24
13087,DECATUR,6
13091,DODGE,17
13097,DOUGLAS,133
13101,ECHOLS,3900
13103,EFFINGHAM,36
13105,ELBERT,61
13107,EMANUEL,80
13111,FANNIN,70
13113,FAYETTE,130
13115,FLOYD,49
13117,FORSYTH,35
13119,FRANKLIN,221
13121,FULTON,194
13123,GILMER,45
13127,GLYNN,50
13129,GORDON,41
13131,GRADY,125
13133,GREENE,764
13135,GWINNETT,9
13137,HABERSHAM,709
13139,HALL,717
13141,HANCOCK,64
13143,HARALSON,45
13145,HARRIS,195
13147,HART,108
13149,HEARD,134
13151,HENRY,89
13153,HOUSTON,82
13155,IRWIN,1507
13157,JACKSON,263
13159,JASPER,15
13163,JEFFERSON,65
13165,JENKINS,186
13167,JOHNSON,20
13169,JONES,14
13171,LAMAR,131
13173,LANIER,218
13175,LAURENS,238
13177,LEE,403
13183,LONG,260
13185,LOWNDES,284
13187,LUMPKIN,186
13189,MCDUFFIE,67
13195,MADISON,337
13197,MARION,13
13199,MERIWETHER,50
13205,MITCHELL,377
13207,MONROE,405
13211,MORGAN,25
13213,MURRAY,85
13217,NEWTON,49
13219,OCONEE,108
13221,OGLETHORPE,21
13223,PAULDING,78
13225,PEACH,111
13227,PICKENS,133
13229,PIERCE,6645
13231,PIKE,273
13233,POLK,197
13235,PULASKI,382
13237,PUTNAM,59
13241,RABUN,485
13245,RICHMOND,26
13251,SCREVEN,245
13253,SEMINOLE,306
13255,SPALDING,17
13257,STEPHENS,1851
13259,STEWART,50
13263,TALBOT,99
13265,TALIAFERRO,7
13267,TATTNALL,470
13269,TAYLOR,83
13275,THOMAS,81
13281,TOWNS,32
13283,TREUTLEN,6
13285,TROUP,133
13289,TWIGGS,23
13291,UNION,119
13295,WALKER,129
13297,WALTON,71
13299,WARE,4395
13301,WARREN,18
13303,WASHINGTON,136
13305,WAYNE,1869
13317,WILKES,32
13319,WILKINSON,8
