FIPS,COUNTY_NAME,VALUE
13001,APPLING,312
13009,BALDWIN,45
13011,BANKS,178
13013,BARROW,111
13015,BARTOW,277
13023,BLECKLEY,52
13025,BRANTLEY,51
13033,BURKE,614
13035,BUTTS,243
13039,CAMDEN,190
13043,CANDLER,132
13045,CARROLL,384
13047,CATOOSA,117
13049,CHARLTON,21
13055,CHATTOOGA,213
13057,CHEROKEE,89
13059,CLARKE,171
13069,COFFEE,163
13071,COLQUITT,291
13073,COLUMBIA,96
13075,COOK,61
13077,COWETA,64
13079,CRAWFORD,36
13081,CRISP,525
13083,DADE,13
13085,DAWSON,303
13091,DODGE,137
13097,DOUGLAS,28
13099,EARLY,175
13103,EFFINGHAM,68
13105,ELBERT,59
13107,EMANUEL,199
13109,EVANS,79
13113,FAYETTE,72
13115,FLOYD,613
13117,FORSYTH,82
13119,FRANKLIN,324
13121,FULTON,370
13123,GILMER,198
13129,GORDON,429
13131,GRADY,18
13133,GREENE,159
13135,GWINNETT,92
13137,HABERSHAM,110
13139,HALL,237
13141,HANCOCK,39
13143,HARALSON,33
13145,HARRIS,117
13147,HART,120
13149,HEARD,62
13151,HENRY,68
13153,HOUSTON,78
13155,IRWIN,87
13157,JACKSON,480
13159,JASPER,214
13163,JEFFERSON,112
13165,JENKINS,182
13169,JONES,68
13171,LAMAR,114
13175,LAURENS,145
13181,LINCOLN,49
13183,LONG,258
13185,LOWNDES,380
13187,LUMPKIN,177
13189,MCDUFFIE,355
13191,MCINTOSH,12
13193,MACON,4
13195,MADISON,730
13199,MERIWETHER,674
13205,MITCHELL,127
13207,MONROE,1221
13211,MORGAN,253
13213,MURRAY,47
13217,NEWTON,191
13219,OCONEE,1077
13221,OGLETHORPE,510
13223,PAULDING,76
13225,PEACH,171
13227,PICKENS,93
13229,PIERCE,122
13231,PIKE,39
13233,POLK,372
13235,PULASKI,37
13241,RABUN,229
13245,RICHMOND,325
13247,ROCKDALE,18
13251,SCREVEN,60
13255,SPALDING,156
13257,STEPHENS,132
13259,STEWART,78
13267,TATTNALL,145
13269,TAYLOR,195
13271,TELFAIR,40
13275,THOMAS,188
13277,TIFT,154
13285,TROUP,556
13293,UPSON,125
13295,WALKER,484
13297,WALTON,220
13299,WARE,6
13301,WARREN,170
13303,WASHINGTON,236
13305,WAYNE,67
13311,WHITE,187
13313,WHITFIELD,233
13317,WILKES,376
13319,WILKINSON,99
13321,WORTH,144
