FIPS,COUNTY_NAME,VALUE
19001,ADAIR,27120
19003,ADAMS,15676
19005,ALLAMAKEE,35501
19007,APPANOOSE,13704
19009,AUDUBON,22686
19011,BENTON,19887
19013,BLACK HAWK,12076
19015,BOONE,10287
19017,BREMER,17905
19019,BUCHANAN,15508
19021,BUENA VISTA,20563
19023,BUTLER,15213
19025,CALHOUN,13552
19027,CARROLL,48867
19029,CASS,27519
19031,CEDAR,14934
19033,CERRO GORDO,6186
19035,CHEROKEE,50995
19037,CHICKASAW,26322
19039,CLARKE,18462
19041,CLAY,24195
19043,CLAYTON,41775
19045,CLINTON,50197
19047,CRAWFORD,34884
19049,DALLAS,15656
19051,DAVIS,13140
19053,DECATUR,28891
19055,DELAWARE,100022
19057,DES MOINES,4058
19059,DICKINSON,17809
19061,DUBUQUE,94249
19063,EMMET,10094
19065,FAYETTE,33018
19067,FLOYD,19930
19069,FRANKLIN,7199
19071,FREMONT,9818
19073,GREENE,14479
19075,GRUNDY,23150
19077,GUTHRIE,18012
19079,HAMILTON,862
19081,HANCOCK,6618
19083,HARDIN,27832
19085,HARRISON,15891
19087,HENRY,9233
19089,HOWARD,24790
19091,HUMBOLDT,9856
19093,IDA,40311
19095,IOWA,24812
19097,JACKSON,68825
19099,JASPER,15813
19101,JEFFERSON,8080
19103,JOHNSON,15491
19105,JONES,48953
19107,KEOKUK,16493
19109,KOSSUTH,20176
19111,LEE,10693
19113,LINN,16809
19115,LOUISA,2733
19117,LUCAS,14552
19119,LYON,168253
19121,MADISON,12817
19123,MAHASKA,22048
19125,MARION,15350
19127,MARSHALL,20995
19129,MILLS,1392
19131,MITCHELL,46686
19133,MONONA,18673
19135,MONROE,16998
19137,MONTGOMERY,16184
19139,MUSCATINE,8901
19141,O BRIEN,51493
19143,OSCEOLA,37510
19145,PAGE,18787
19147,PALO ALTO,21172
19149,PLYMOUTH,90320
19151,POCAHONTAS,11907
19153,POLK,5646
19155,POTTAWATTAMIE,59189
19157,POWESHIEK,18547
19159,RINGGOLD,25070
19161,SAC,32065
19163,SCOTT,15501
19165,SHELBY,24611
19167,SIOUX,366404
19169,STORY,13209
19171,TAMA,25031
19173,TAYLOR,17456
19175,UNION,20998
19177,VAN BUREN,9519
19179,WAPELLO,7896
19181,WARREN,7944
19183,WASHINGTON,9684
19185,WAYNE,15819
19187,WEBSTER,6872
19189,WINNEBAGO,6387
19191,WINNESHIEK,64609
19193,WOODBURY,54877
19195,WORTH,5064
19197,WRIGHT,4277
