FIPS,COUNTY_NAME,VALUE
19005,ALLAMAKEE,13321
19007,APPANOOSE,169
19011,BENTON,4516
19013,BLACK HAWK,942
19017,BREMER,2750
19019,BUCHANAN,2227
19023,BUTLER,1668
19027,CARROLL,72
19031,CEDAR,176
19037,CHICKASAW,2265
19039,CLARKE,22
19041,CLAY,6
19043,CLAYTON,11922
19045,CLINTON,3648
19047,CRAWFORD,92
19051,DAVIS,2107
19055,DELAWARE,8938
19061,DUBUQUE,22316
19065,FAYETTE,6090
19067,FLOYD,1651
19073,GREENE,16
19075,GRUNDY,592
19079,HAMILTON,179
19081,HANCOCK,179
19083,HARDIN,129
19089,HOWARD,3201
19093,IDA,1400
19095,IOWA,229
19097,JACKSON,4571
19099,JASPER,413
19101,JEFFERSON,153
19103,JOHNSON,1853
19105,JONES,1472
19107,KEOKUK,82
19111,LEE,585
19113,LINN,1234
19117,LUCAS,17
19119,LYON,10472
19121,MADISON,8
19123,MAHASKA,227
19125,MARION,437
19131,MITCHELL,3818
19139,MUSCATINE,149
19141,O BRIEN,8762
19143,OSCEOLA,5717
19145,PAGE,8
19147,PALO ALTO,237
19151,POCAHONTAS,2155
19159,RINGGOLD,88
19161,SAC,441
19163,SCOTT,512
19167,SIOUX,36195
19171,TAMA,587
19175,UNION,11
19177,VAN BUREN,686
19181,WARREN,80
19183,WASHINGTON,932
19185,WAYNE,269
19191,WINNESHIEK,16786
19195,WORTH,158
