FIPS,COUNTY_NAME,VALUE
19009,AUDUBON,21
19011,BENTON,12
19013,BLACK HAWK,39
19015,BOONE,88
19017,BREMER,70
19019,BUCHANAN,178
19021,BUENA VISTA,44
19023,BUTLER,142
19025,CALHOUN,47
19027,CARROLL,118
19029,CASS,64
19031,CEDAR,231
19033,CERRO GORDO,31
19035,CHEROKEE,36
19037,CHICKASAW,48
19039,CLARKE,44
19043,CLAYTON,82
19047,CRAWFORD,80
19049,DALLAS,138
19051,DAVIS,94
19053,DECATUR,9
19055,DELAWARE,156
19061,DUBUQUE,49
19065,FAYETTE,125
19067,FLOYD,36
19069,FRANKLIN,85
19073,GREENE,112
19079,HAMILTON,63
19083,HARDIN,96
19085,HARRISON,60
19089,HOWARD,33
19095,IOWA,216
19097,JACKSON,162
19099,JASPER,53
19103,JOHNSON,21
19105,JONES,171
19111,LEE,44
19113,LINN,517
19115,LOUISA,140
19117,LUCAS,276
19119,LYON,56
19121,MADISON,93
19123,MAHASKA,174
19125,MARION,139
19127,MARSHALL,945
19129,MILLS,131
19131,MITCHELL,124
19139,MUSCATINE,614
19145,PAGE,36
19147,PALO ALTO,54
19149,PLYMOUTH,88
19153,POLK,48
19155,POTTAWATTAMIE,14
19157,POWESHIEK,13
19161,SAC,22
19163,SCOTT,54
19165,SHELBY,17
19167,SIOUX,230
19169,STORY,287
19171,TAMA,30
19175,UNION,22
19181,WARREN,276
19183,WASHINGTON,33
19185,WAYNE,286
19187,WEBSTER,51
19189,WINNEBAGO,44
19191,WINNESHIEK,81
19193,WOODBURY,160
19195,WORTH,206
