FIPS,COUNTY_NAME,VALUE
19001,ADAIR,20
19003,ADAMS,6
19005,ALLAMAKEE,38
19007,APPANOOSE,55
19009,AUDUBON,10
19011,BENTON,32
19013,BLACK HAWK,44
19015,BOONE,37
19017,BREMER,29
19019,BUCHANAN,28
19021,BUENA VISTA,6
19023,BUTLER,78
19025,CALHOUN,17
19027,CARROLL,68
19029,CASS,58
19031,CEDAR,30
19033,CERRO GORDO,47
19035,CHEROKEE,14
19037,CHICKASAW,34
19039,CLARKE,43
19041,CLAY,23
19043,CLAYTON,59
19045,CLINTON,43
19047,CRAWFORD,8
19049,DALLAS,25
19051,DAVIS,32
19053,DECATUR,33
19055,DELAWARE,66
19061,DUBUQUE,40
19063,EMMET,17
19065,FAYETTE,49
19067,FLOYD,27
19069,FRANKLIN,55
19071,FREMONT,34
19073,GREENE,13
19075,GRUNDY,21
19079,HAMILTON,24
19083,HARDIN,9
19087,HENRY,10
19089,HOWARD,8
19091,HUMBOLDT,24
19093,IDA,21
19095,IOWA,30
19097,JACKSON,37
19099,JASPER,70
19101,JEFFERSON,33
19103,JOHNSON,24
19105,JONES,32
19107,KEOKUK,15
19109,KOSSUTH,16
19111,LEE,129
19113,LINN,137
19115,LOUISA,13
19117,LUCAS,28
19121,MADISON,36
19123,MAHASKA,51
19125,MARION,135
19127,MARSHALL,41
19129,MILLS,18
19131,MITCHELL,56
19135,MONROE,43
19137,MONTGOMERY,16
19139,MUSCATINE,173
19143,OSCEOLA,4
19145,PAGE,56
19147,PALO ALTO,6
19149,PLYMOUTH,36
19153,POLK,95
19155,POTTAWATTAMIE,89
19157,POWESHIEK,24
19159,RINGGOLD,37
19161,SAC,30
19163,SCOTT,68
19165,SHELBY,16
19167,SIOUX,42
19169,STORY,28
19171,TAMA,21
19173,TAYLOR,33
19175,UNION,6
19177,VAN BUREN,29
19179,WAPELLO,130
19181,WARREN,102
19183,WASHINGTON,28
19185,WAYNE,84
19187,WEBSTER,9
19189,WINNEBAGO,30
19191,WINNESHIEK,88
19193,WOODBURY,55
19197,WRIGHT,19
