FIPS,COUNTY_NAME,VALUE
19003,ADAMS,69
19009,AUDUBON,54
19015,BOONE,15
19019,BUCHANAN,28
19023,BUTLER,4
19027,CARROLL,108
19031,CEDAR,96
19047,CRAWFORD,40
19049,DALLAS,33
19051,DAVIS,30
19061,DUBUQUE,12
19095,IOWA,44
19097,JACKSON,23
19099,JASPER,13
19103,JOHNSON,15
19105,JONES,10
19111,LEE,32
19113,LINN,34
19117,LUCAS,96
19121,MADISON,17
19125,MARION,324
19127,MARSHALL,226
19131,MITCHELL,48
19139,MUSCATINE,24
19147,PALO ALTO,15
19151,POCAHONTAS,6
19155,POTTAWATTAMIE,16
19169,STORY,25
19175,UNION,36
19183,WASHINGTON,40
19185,WAYNE,15
19191,WINNESHIEK,74
19195,WORTH,14
