FIPS,COUNTY_NAME,VALUE
19003,ADAMS,83
19005,ALLAMAKEE,205
19007,APPANOOSE,519
19009,AUDUBON,178
19011,BENTON,571
19013,BLACK HAWK,295
19015,BOONE,1189
19017,BREMER,815
19019,BUCHANAN,4259
19021,BUENA VISTA,199
19023,BUTLER,792
19025,CALHOUN,387
19027,CARROLL,592
19029,CASS,1176
19031,CEDAR,546
19035,CHEROKEE,329
19037,CHICKASAW,452
19039,CLARKE,489
19041,CLAY,188
19043,CLAYTON,7159
19045,CLINTON,501
19047,CRAWFORD,673
19049,DALLAS,173
19051,DAVIS,2207
19053,DECATUR,211
19055,DELAWARE,1869
19057,DES MOINES,142
19061,DUBUQUE,1071
19063,EMMET,123
19065,FAYETTE,338
19067,FLOYD,435
19069,FRANKLIN,311
19071,FREMONT,112
19073,GREENE,117
19075,GRUNDY,89
19077,GUTHRIE,266
19079,HAMILTON,560
19081,HANCOCK,23
19083,HARDIN,156
19085,HARRISON,171
19087,HENRY,876
19089,HOWARD,694
19093,IDA,155
19095,IOWA,881
19097,JACKSON,489
19099,JASPER,757
19101,JEFFERSON,2476
19103,JOHNSON,10933
19105,JONES,430
19107,KEOKUK,954
19109,KOSSUTH,1037
19111,LEE,879
19113,LINN,1531
19115,LOUISA,670
19117,LUCAS,284
19119,LYON,475
19121,MADISON,951
19123,MAHASKA,444
19125,MARION,1983
19127,MARSHALL,648
19129,MILLS,134
19131,MITCHELL,1080
19133,MONONA,16
19135,MONROE,265
19137,MONTGOMERY,203
19139,MUSCATINE,720
19141,O BRIEN,279
19143,OSCEOLA,101
19145,PAGE,181
19147,PALO ALTO,556
19149,PLYMOUTH,541
19153,POLK,594
19155,POTTAWATTAMIE,156
19157,POWESHIEK,716
19159,RINGGOLD,924
19161,SAC,132
19163,SCOTT,867
19165,SHELBY,234
19167,SIOUX,770
19169,STORY,1194
19171,TAMA,786
19173,TAYLOR,77
19175,UNION,158
19177,VAN BUREN,1286
19179,WAPELLO,743
19181,WARREN,956
19183,WASHINGTON,5673
19185,WAYNE,1821
19187,WEBSTER,106
19189,WINNEBAGO,105
19191,WINNESHIEK,610
19193,WOODBURY,1195
19195,WORTH,426
19197,WRIGHT,191
