FIPS,COUNTY_NAME,VALUE
19001,ADAIR,18
19003,ADAMS,66
19005,ALLAMAKEE,42
19007,APPANOOSE,20
19009,AUDUBON,6
19013,BLACK HAWK,51
19015,BOONE,33
19019,BUCHANAN,56
19021,BUENA VISTA,1015932
19023,BUTLER,76
19025,CALHOUN,139167
19031,CEDAR,139
19033,CERRO GORDO,43
19035,CHEROKEE,491336
19039,CLARKE,6
19045,CLINTON,261
19049,DALLAS,8
19053,DECATUR,37
19061,DUBUQUE,13
19065,FAYETTE,16
19067,FLOYD,69
19069,FRANKLIN,24
19079,HAMILTON,897935
19087,HENRY,435460
19089,HOWARD,53
19095,IOWA,142
19099,JASPER,23
19103,JOHNSON,58232
19105,JONES,98
19111,LEE,41
19113,LINN,33
19123,MAHASKA,19
19125,MARION,18
19129,MILLS,186
19131,MITCHELL,30
19133,MONONA,48
19135,MONROE,49
19151,POCAHONTAS,148000
19153,POLK,822
19157,POWESHIEK,82
19161,SAC,546189
19167,SIOUX,20
19169,STORY,220024
19177,VAN BUREN,44
19181,WARREN,54
19183,WASHINGTON,358278
19193,WOODBURY,91
