FIPS,COUNTY_NAME,VALUE
16001,ADA,27119
16003,ADAMS,7482
16005,BANNOCK,7385
16007,BEAR LAKE,8047
16009,BENEWAH,350
16011,BINGHAM,49228
16013,BLAINE,3733
16015,BOISE,744
16017,BONNER,1625
16019,BONNEVILLE,42382
16021,BOUNDARY,1853
16023,BUTTE,3754
16025,CAMAS,1594
16027,CANYON,78145
16029,CARIBOU,10417
16031,CASSIA,190642
16033,CLARK,3487
16035,CLEARWATER,1007
16037,CUSTER,8798
16039,ELMORE,125624
16041,FRANKLIN,14439
16043,FREMONT,4385
16045,GEM,9739
16047,GOODING,146074
16049,IDAHO,9512
16051,JEFFERSON,54635
16053,JEROME,181151
16055,KOOTENAI,1869
16057,LATAH,1809
16059,LEMHI,12082
16061,LEWIS,1889
16063,LINCOLN,34206
16065,MADISON,7055
16067,MINIDOKA,21403
16069,NEZ PERCE,5140
16071,ONEIDA,8307
16073,OWYHEE,88104
16075,PAYETTE,32941
16077,POWER,20695
16079,SHOSHONE,116
16081,TETON,2263
16083,TWIN FALLS,81808
16085,VALLEY,5134
16087,WASHINGTON,15164
