FIPS,COUNTY_NAME,VALUE
16001,ADA,7403
16005,BANNOCK,12713
16007,BEAR LAKE,18911
16009,BENEWAH,617
16011,BINGHAM,41571
16013,BLAINE,5908
16015,BOISE,1671
16017,BONNER,2407
16019,BONNEVILLE,15234
16021,BOUNDARY,3036
16025,CAMAS,4219
16027,CANYON,16858
16029,CARIBOU,13695
16031,CASSIA,28245
16033,CLARK,4647
16035,CLEARWATER,1899
16037,CUSTER,21589
16039,ELMORE,16564
16041,FRANKLIN,10050
16043,FREMONT,8701
16047,GOODING,9393
16049,IDAHO,16314
16051,JEFFERSON,17332
16053,JEROME,9230
16055,KOOTENAI,3652
16057,LATAH,3489
16059,LEMHI,22872
16063,LINCOLN,6841
16065,MADISON,6466
16067,MINIDOKA,5622
16069,NEZ PERCE,7859
16071,ONEIDA,15081
16073,OWYHEE,44443
16075,PAYETTE,10213
16079,SHOSHONE,135
16081,TETON,4287
16083,TWIN FALLS,27319
16087,WASHINGTON,16129
