FIPS,COUNTY_NAME,VALUE
16001,ADA,52082
16003,ADAMS,16516
16005,BANNOCK,20981
16007,BEAR LAKE,28175
16009,BENEWAH,973
16011,BINGHAM,97759
16013,BLAINE,9641
16015,BOISE,2415
16017,BONNER,4100
16019,BONNEVILLE,58072
16021,BOUNDARY,4914
16023,BUTTE,9138
16025,CAMAS,5813
16027,CANYON,137348
16029,CARIBOU,25146
16031,CASSIA,283514
16033,CLARK,8134
16035,CLEARWATER,2911
16037,CUSTER,31167
16039,ELMORE,169986
16041,FRANKLIN,33532
16043,FREMONT,13879
16045,GEM,23111
16047,GOODING,318333
16049,IDAHO,26185
16051,JEFFERSON,84789
16053,JEROME,260419
16055,KOOTENAI,5561
16057,LATAH,5530
16059,LEMHI,34968
16061,LEWIS,4641
16063,LINCOLN,76481
16065,MADISON,13738
16067,MINIDOKA,42141
16069,NEZ PERCE,13007
16071,ONEIDA,23388
16073,OWYHEE,157193
16075,PAYETTE,57364
16077,POWER,27520
16079,SHOSHONE,260
16081,TETON,6842
16083,TWIN FALLS,199003
16085,VALLEY,7162
16087,WASHINGTON,31305
