FIPS,COUNTY_NAME,VALUE
16001,ADA,73
16005,BANNOCK,6
16007,BEAR LAKE,36
16011,BINGHAM,84
16017,BONNER,248
16019,BONNEVILLE,108
16021,BOUNDARY,27
16023,BUTTE,26
16025,CAMAS,9
16027,CANYON,134
16035,CLEARWATER,12
16039,ELMORE,14
16041,FRANKLIN,29
16043,FREMONT,18
16045,GEM,57
16047,GOODING,26
16049,IDAHO,15
16055,KOOTENAI,94
16057,LATAH,18
16059,LEMHI,31
16061,LEWIS,6
16063,LINCOLN,8
16065,MADISON,4
16067,MINIDOKA,26
16069,NEZ PERCE,13
16075,PAYETTE,25
16081,TETON,9
16083,TWIN FALLS,27
16087,WASHINGTON,10
